win	group	t_start	t_end	alive_after
128	priv	1784083592.707587	1784083597.726115	1
129	dram_bw	1784083597.726176	1784083602.744052	1
130	fe	1784083602.744115	1784083607.765239	1
131	fpbr	1784083607.765297	1784083612.784324	1
132	mlp	1784083612.784397	1784083617.801582	1
133	core_ports	1784083617.801641	1784083622.821844	1
134	fe_lat	1784083622.821905	1784083627.842055	1
135	cache	1784083627.842114	1784083632.862828	1
136	fe_lat	1784083632.863905	1784083637.884600	1
137	priv	1784083637.884658	1784083642.903232	1
138	mlp	1784083642.903293	1784083647.920440	1
139	fe	1784083647.920501	1784083652.940483	1
140	cache	1784083652.940544	1784083657.962241	1
141	fpbr	1784083657.962302	1784083662.981810	1
142	core_ports	1784083662.981871	1784083668.001990	1
143	dram_bw	1784083668.002053	1784083673.020215	1
144	dram_bw	1784083673.021240	1784083678.039444	1
145	fe_lat	1784083678.039505	1784083683.059732	1
146	fe	1784083683.059793	1784083688.079982	1
147	core_ports	1784083688.080044	1784083693.100222	1
148	fpbr	1784083693.100281	1784083698.120085	1
149	priv	1784083698.120144	1784083703.138965	1
150	mlp	1784083703.139025	1784083708.156064	1
151	cache	1784083708.156126	1784083713.176197	1
152	core_ports	1784083713.177262	1784083718.198336	1
153	cache	1784083718.198394	1784083723.219496	1
154	dram_bw	1784083723.219559	1784083728.237658	1
155	fe	1784083728.237719	1784083733.257783	1
156	fe_lat	1784083733.257843	1784083738.277790	1
157	priv	1784083738.277853	1784083743.297895	1
158	mlp	1784083743.297954	1784083748.315018	1
159	fpbr	1784083748.315080	1784083753.333816	1
160	core_ports	1784083753.334875	1784083758.355104	1
161	dram_bw	1784083758.355162	1784083763.373399	1
162	mlp	1784083763.373458	1784083768.391947	1
163	fe	1784083768.392004	1784083773.412040	1
164	priv	1784083773.412099	1784083778.430753	1
165	fe_lat	1784083778.430814	1784083783.450954	1
166	fpbr	1784083783.451015	1784083788.470498	1
167	cache	1784083788.470559	1784083793.492002	1
168	fpbr	1784083793.493030	1784083798.511772	1
169	fe_lat	1784083798.511831	1784083803.531964	1
170	dram_bw	1784083803.532028	1784083808.550152	1
171	fe	1784083808.550212	1784083813.571112	1
172	cache	1784083813.571170	1784083818.590987	1
173	core_ports	1784083818.591045	1784083823.610880	1
174	priv	1784083823.610943	1784083828.629601	1
175	mlp	1784083828.629662	1784083833.646850	1
176	dram_bw	1784083833.647888	1784083838.667103	1
177	priv	1784083838.667165	1784083843.686337	1
178	mlp	1784083843.686396	1784083848.703346	1
179	fe_lat	1784083848.703407	1784083853.723479	1
180	fe	1784083853.723536	1784083858.744070	1
181	fpbr	1784083858.744126	1784083863.763491	1
182	cache	1784083863.763553	1784083868.783414	1
183	core_ports	1784083868.783474	1784083873.805469	1
184	mlp	1784083873.806522	1784083878.823926	1
185	dram_bw	1784083878.823984	1784083883.855813	1
186	core_ports	1784083883.855893	1784083888.882230	1
187	fpbr	1784083888.882292	1784083893.901031	1
188	fe	1784083893.901088	1784083898.921131	1
189	fe_lat	1784083898.921188	1784083903.942456	1
190	priv	1784083903.942524	1784083908.962894	1
191	cache	1784083908.962950	1784083913.982903	1
192	fe	1784083913.983933	1784083919.004310	1
193	core_ports	1784083919.004373	1784083924.025383	1
194	fpbr	1784083924.025446	1784083929.045118	1
195	priv	1784083929.045176	1784083934.063855	1
196	mlp	1784083934.063913	1784083939.081092	1
197	dram_bw	1784083939.081150	1784083944.099349	1
198	cache	1784083944.099412	1784083949.121572	1
199	fe_lat	1784083949.121631	1784083954.141837	1
200	mlp	1784083954.142980	1784083959.161190	1
201	cache	1784083959.161249	1784083964.181375	1
202	fpbr	1784083964.181435	1784083969.200224	1
203	core_ports	1784083969.200286	1784083974.220863	1
204	fe	1784083974.220927	1784083979.242633	1
205	priv	1784083979.242695	1784083984.263683	1
206	dram_bw	1784083984.263750	1784083989.283191	1
207	fe_lat	1784083989.283253	1784083994.303416	1
208	fe_lat	1784083994.304446	1784083999.324831	1
209	dram_bw	1784083999.324893	1784084004.343867	1
210	fe	1784084004.343929	1784084009.364832	1
211	mlp	1784084009.364892	1784084014.383766	1
212	priv	1784084014.383824	1784084019.402420	1
213	fpbr	1784084019.402480	1784084024.421163	1
214	cache	1784084024.421221	1784084029.441443	1
215	core_ports	1784084029.441501	1784084034.462400	1
216	mlp	1784084034.463576	1784084039.481972	1
