win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783593389.740013	1783593399.876886	1	3539048
001	core	1783593400.199265	1783593410.235840	0	3540930
002	cache	1783593410.349695	1783593420.381790	0	3544477
003	fp1	1783593420.604191	1783593430.636159	1	3547961
004	fp2	1783593430.752383	1783593440.785476	1	3551412
005	mlp	1783593440.899964	1783593450.930366	1	3554572
006	fe	1783593451.071716	1783593461.105820	1	3557920
007	icache	1783593461.222871	1783593471.253296	1	3561912
008	priv	1783593471.382377	1783593481.415375	1	3565020
009	tma	1783593481.634342	1783593491.671733	1	3568603
010	core	1783593491.793714	1783593501.829107	0	3570490
011	cache	1783593502.043239	1783593512.077660	0	3573579
012	fp1	1783593512.206364	1783593522.242434	1	3576863
013	fp2	1783593522.375376	1783593532.408595	1	3580341
014	mlp	1783593532.525906	1783593542.556858	1	3583838
015	fe	1783593542.674402	1783593552.709821	1	3587512
016	icache	1783593553.203332	1783593563.237852	1	3590654
017	priv	1783593563.352475	1783593573.387524	1	3594240
018	tma	1783593573.506791	1783593583.549966	1	3597809
019	core	1783593584.200338	1783593594.228164	0	3599537
020	cache	1783593594.346023	1783593604.377707	1	3603671
021	fp1	1783593604.496325	1783593614.530120	1	3607186
022	fp2	1783593614.664740	1783593624.698308	1	3610323
023	mlp	1783593624.817279	1783593634.847532	1	3613677
024	fe	1783593635.140989	1783593645.173584	1	3617044
025	icache	1783593645.287059	1783593655.317436	1	3620441
026	priv	1783593655.435645	1783593665.468729	1	3623571
