win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783596857.306328	1783596867.432556	1	5071477
001	core	1783596867.548837	1783596877.581032	1	5073528
002	cache	1783596878.182655	1783596888.221882	1	5076053
003	fp1	1783596888.337424	1783596898.371416	1	5078336
004	fp2	1783596898.494652	1783596908.528031	0	5080358
005	mlp	1783596908.654774	1783596918.686593	1	5084311
006	fe	1783596918.810566	1783596928.844033	1	5086650
007	icache	1783596928.957242	1783596938.987776	1	5088602
008	priv	1783596939.193259	1783596949.226907	1	5091130
009	tma	1783596949.346025	1783596959.381856	0	5093253
010	core	1783596959.498886	1783596969.527193	1	5097263
011	cache	1783596969.639494	1783596979.671690	1	5099279
012	fp1	1783596980.140630	1783596990.173902	1	5101311
013	fp2	1783596990.347391	1783597000.379857	1	5103612
014	mlp	1783597001.139985	1783597011.171154	1	5108142
015	fe	1783597011.351742	1783597021.383870	1	5110146
016	icache	1783597021.525978	1783597031.556543	1	5112270
017	priv	1783597031.781238	1783597041.816048	1	5114270
018	tma	1783597042.203688	1783597052.242998	0	5116828
019	core	1783597052.454619	1783597062.491528	1	5120941
020	cache	1783597062.663197	1783597072.700483	1	5122810
021	fp1	1783597073.207043	1783597083.239916	1	5125001
022	fp2	1783597083.358899	1783597093.393550	1	5127088
023	mlp	1783597093.549799	1783597103.582592	1	5131145
024	fe	1783597104.144403	1783597114.176870	1	5133487
025	icache	1783597114.321254	1783597124.359550	1	5135648
026	priv	1783597124.579072	1783597134.616816	1	5137853
