# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'task-clock'
# Event count (approx.): 58808080220
#
# Overhead  Command          Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .................................................  ..............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  VLLM::EngineCor  libc10.so                                          [.] c10::impl::TorchDispatchModeTLS::stack_len()
     0.02%  VLLM::EngineCor  libc10.so                                          [.] c10::intrusive_ptr<c10::StorageImpl, c10::detail::intrusive_target_default_null_type<c10::StorageImpl> >::reset_not_null_(c10::StorageImpl*)
     0.02%  VLLM::EngineCor  libc10.so                                          [.] c10::monitor::GaugeHandle::record(long)
     0.02%  VLLM::EngineCor  libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::BlockComparatorSize(c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*, c10::cuda::CUDACachingAllocator::Native::(anonymous namespace)::Block const*)
     0.02%  VLLM::EngineCor  libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::DeviceCachingAllocator::malloc(unsigned long, CUstream_st*)
     0.02%  VLLM::EngineCor  libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::NativeCachingAllocator::get_allocated_block(void*, bool)
     0.02%  VLLM::EngineCor  libc10_cuda.so                                     [.] c10::cuda::CUDACachingAllocator::Native::NativeCachingAllocator::memcpyAsync(void*, int, void const*, int, unsigned long, CUstream_st*, bool)
     0.02%  VLLM::EngineCor  libc10_cuda.so                                     [.] c10::cuda::CUDAStream::stream() const
     0.02%  VLLM::EngineCor  libc10_cuda.so                                     [.] c10::cuda::ExchangeDevice(signed char)
     0.02%  VLLM::EngineCor  libc10_cuda.so                                     [.] c10::cuda::ExchangeDevice(signed char)@plt
     0.02%  VLLM::EngineCor  libc10_cuda.so                                     [.] c10::cuda::impl::CUDAGuardImpl::exchangeDevice(c10::Device) const
     0.02%  VLLM::EngineCor  libcublasLt.so.13                                  [.] cublasLtMatrixLayoutCreate
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] cuMemsetD8Async
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000017999c
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000001ac000
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000001d6255
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000001d6274
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000020f3b8
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000020f453
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f10e
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f6e0
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000002210b8
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000002211c7
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022440f
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022709c
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022b650
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000259fd0
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000025a0f0
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000269e10
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000002812d5
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000028d520
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000002b9d54
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000002baba1
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000002c7ac7
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000002e5e54
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000002e66de
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000003185e0
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000332fc0
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000335750
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000336a00
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000039cf50
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000003a9383
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000003ba8fe
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000003c5dd6
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000003c5df2
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000003c5e46
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000003caa6a
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000003caa7a
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000003d25de
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000003d26bb
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000003e6e8e
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004075ae
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618a3
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618e9
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461990
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000049cc5a
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000049daf0
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9cf80
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d283
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2bd
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d8a3
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000fb6014
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000fb933f
     0.02%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000fba674
     0.02%  VLLM::EngineCor  libcudart.so.13                                    [.] cudaDeviceGetAttribute
     0.02%  VLLM::EngineCor  libcudart.so.13                                    [.] cudaGetLastError
     0.02%  VLLM::EngineCor  libcudart.so.13                                    [.] 0x000000000003cd37
     0.02%  VLLM::EngineCor  libstdc++.so.6.0.30                                [.] malloc@plt
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::Context::float32Precision(at::Float32Backend, at::Float32Op) const
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::TensorIteratorBase::build(at::TensorIteratorConfig&)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::TensorIteratorBase::build_borrowing_binary_op(at::TensorBase const&, at::TensorBase const&, at::TensorBase const&)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::TensorIteratorBase::compute_types(at::TensorIteratorConfig const&)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::TensorIteratorBase::fast_set_up(at::TensorIteratorConfig const&)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::TensorIteratorBase::mark_resize_outputs(at::TensorIteratorConfig const&)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::_ops::cumsum_out::call(at::Tensor const&, long, std::optional<c10::ScalarType>, at::Tensor&)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::_ops::gt_Scalar::call(at::Tensor const&, c10::Scalar const&)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::_ops::index_select_out::call(at::Tensor const&, long, at::Tensor const&, at::Tensor&)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::_ops::masked_fill__Scalar::call(at::Tensor&, at::Tensor const&, c10::Scalar const&)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::_ops::scatter__src::call(at::Tensor&, long, at::Tensor const&, at::Tensor const&)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::_ops::to_dtype_layout::call(at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, bool, std::optional<c10::MemoryFormat>)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::_ops::unsqueeze::call(at::Tensor const&, long)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::accelerator::getAccelerator(bool)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::detail::empty_strided_cpu(c10::ArrayRef<long>, c10::ArrayRef<long>, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::detail::getMPSHooks()
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::detail::scalar_tensor_static(c10::Scalar const&, std::optional<c10::ScalarType>, std::optional<c10::Device>)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::empty_like(at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, std::optional<c10::MemoryFormat>)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::maybe_resize_storage_cpu(c10::TensorImpl*, unsigned long)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::review_reduce_result(at::Tensor const&, int, std::bitset<64ul>, bool)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::sort(at::Tensor const&, long, bool)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::native::structured_scatter_add::impl(at::Tensor const&, long, at::Tensor const&, at::Tensor const&, at::Tensor const&)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::GetCPUAllocator()@plt
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::SymInt::operator+(c10::SymInt const&) const
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::TensorImpl::sym_strides() const
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::impl::OperatorEntry::lookup(c10::DispatchKeySet) const
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor (c10::DispatchKeySet, at::Tensor const&), &torch::ADInplaceOrView::(anonymous namespace)::t>, at::Tensor, c10::guts::typelist::typelist<c10::DispatchKeySet, at::Tensor const&> >, at::Tensor (c10::DispatchKeySet, at::Tensor const&)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor const&)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] gloo::transport::tcp::Loop::run()
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] torch::autograd::AutogradMeta::AutogradMeta(c10::TensorImpl*, bool, torch::autograd::Edge)
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] torch::autograd::DifferentiableViewMeta::~DifferentiableViewMeta()
     0.02%  VLLM::EngineCor  libtorch_cpu.so                                    [.] torch::autograd::ViewInfo::chain(at::Tensor const&, at::Tensor const&, std::unique_ptr<torch::autograd::ViewFunc, std::default_delete<torch::autograd::ViewFunc> >, std::function<at::Tensor (at::Tensor const&)>) const
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] OffsetCalculator<3, unsigned int, false> make_offset_calculator<3, false>(at::TensorIteratorBase const&)
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::(anonymous namespace)::structured_index_out_functional::set_output_raw_strided(long, c10::ArrayRef<long>, c10::ArrayRef<long>, c10::TensorOptions, c10::ArrayRef<at::Dimname>)
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::(anonymous namespace)::structured_le_Tensor_out_functional::set_output_raw_strided(long, c10::ArrayRef<long>, c10::ArrayRef<long>, c10::TensorOptions, c10::ArrayRef<at::Dimname>)
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::CachingHostAllocatorImpl<c10::cuda::CUDAStream, std::unique_ptr<c10::cuda::CUDAEvent, std::function<void (c10::cuda::CUDAEvent*)> >, at::HostBlock<c10::cuda::CUDAStream> >::process_events_for_specific_size(long, at::HostBlockPool<c10::cuda::CUDAStream, std::unique_ptr<c10::cuda::CUDAEvent, std::function<void (c10::cuda::CUDAEvent*)> >, at::HostBlock<c10::cuda::CUDAStream> >&)
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::TensorBase::sizes() const
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::TensorIteratorBase::~TensorIteratorBase()
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::cuda::CUDAGraph::replay()
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::cuda::detail::(anonymous namespace)::_hasPrimaryContext(signed char)
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::cuda::getCUDABlasLtWorkspace()
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::detail::empty_cuda(c10::ArrayRef<long>, c10::ScalarType, std::optional<c10::Device>, std::optional<c10::MemoryFormat>)
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::native::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()() const [clone .isra.0]
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::native::copy_device_to_device(at::TensorIterator&, bool, bool)
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::native::index_kernel(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda()#1}::operator()() const [clone .isra.0]
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] c10::impl::check_and_update_common_device(std::optional<c10::Device>&, at::Tensor const&, char const*, char const*)
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] cudaError at_cuda_detail::cub::DeviceRadixSort::SortPairs<float, at::cuda::cub::detail::OpaqueType<8>, long>(void*, unsigned long&, float const*, float*, at::cuda::cub::detail::OpaqueType<8> const*, at::cuda::cub::detail::OpaqueType<8>*, long, int, int, CUstream_st*)
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] cudaError thrust::THRUST_300001_SM_750_800_860_900_1000_1200_NS::cuda_cub::detail::triple_chevron::doit_host<void (*)(int*, int*, unsigned long long*, unsigned long long const*, float*, float const*, at::cuda::cub::detail::OpaqueType<8>*, at::cuda::cub::detail::OpaqueType<8> const*, int, int, int, at_cuda_detail::cub::detail::identity_decomposer_t), int*, int*, unsigned long long*, unsigned long long*, float*, float*, at::cuda::cub::detail::OpaqueType<8>*, at::cuda::cub::detail::OpaqueType<8>*, int, int, int, at_cuda_detail::cub::detail::identity_decomposer_t>(void (*)(int*, int*, unsigned long long*, unsigned long long const*, float*, float const*, at::cuda::cub::detail::OpaqueType<8>*, at::cuda::cub::detail::OpaqueType<8> const*, int, int, int, at_cuda_detail::cub::detail::identity_decomposer_t), int* const&, int* const&, unsigned long long* const&, unsigned long long* const&, float* const&, float* const&, at::cuda::cub::detail::OpaqueType<8>* const&, at::cuda::cub::detail::OpaqueType<8>* const&, int const&, int const&, int const&, at_cuda_detail::cub::detail::identity_decomposer_t const&) const [clone .isra.0]
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] void at::native::gpu_kernel<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] void at::native::gpu_kernel_impl<__nv_hdl_wrapper_t<false, true, false, __nv_dl_tag<void (*)(at::TensorIteratorBase&), &at::native::direct_copy_kernel_cuda, 12u>, int (int)> >(at::TensorIteratorBase&, __nv_hdl_wrapper_t<false, true, false, __nv_dl_tag<void (*)(at::TensorIteratorBase&), &at::native::direct_copy_kernel_cuda, 12u>, int (int)> const&) [clone .isra.0]
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<long> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<long> const&)
     0.02%  VLLM::EngineCor  libtorch_cuda.so                                   [.] void at::native::gpu_kernel_impl<at::native::FillFunctor<long> >(at::TensorIteratorBase&, at::native::FillFunctor<long> const&)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] THCPModule_isInBadFork(_object*, _object*)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] THPUtils_checkLong(_object*)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] THPVariable_dealloc(_object*)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] _object* torch::autograd::TypeError_to_NotImplemented_<&torch::autograd::THPVariable_mul>(_object*, _object*, _object*)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] c10::IValue::destroy()
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] c10::intrusive_ptr<c10::TensorImpl, c10::UndefinedTensorImpl>::retain_()
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] pybind11::cpp_function::initialize<torch::impl::py_context_manager_DEPRECATED<c10::InferenceMode, bool>(pybind11::module_ const&, char const*)::{lambda(torch::impl::DeprecatedRAIIContextManager<c10::InferenceMode, bool>&)#1}, void, torch::impl::DeprecatedRAIIContextManager<c10::InferenceMode, bool>&, pybind11::name, pybind11::is_method, pybind11::sibling>(torch::impl::py_context_manager_DEPRECATED<c10::InferenceMode, bool>(pybind11::module_ const&, char const*)::{lambda(torch::impl::DeprecatedRAIIContextManager<c10::InferenceMode, bool>&)#1}&&, void (*)(torch::impl::DeprecatedRAIIContextManager<c10::InferenceMode, bool>&), pybind11::name const&, pybind11::is_method const&, pybind11::sibling const&)::{lambda(pybind11::detail::function_call&)#1}::_FUN(pybind11::detail::function_call&)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] pybind11::cpp_function::initialize<torch::jit::initJITBindings(_object*)::{lambda(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)#2}::operator()(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const::{lambda(pybind11::args const&, pybind11::kwargs const&)#1}, pybind11::object, pybind11::args const&, pybind11::kwargs const&, pybind11::name, pybind11::doc>(torch::jit::initJITBindings(_object*)::{lambda(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)#2}::operator()(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const::{lambda(pybind11::args const&, pybind11::kwargs const&)#1}&&, pybind11::object (*)(pybind11::args const&, pybind11::kwargs const&), pybind11::name const&, pybind11::doc const&)::{lambda(pybind11::detail::function_call&)#1}::_FUN(pybind11::detail::function_call&)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] pybind11::cpp_function::initialize<torch::jit::tracer::initPythonTracerBindings(_object*)::{lambda()#2}, std::shared_ptr<torch::jit::tracer::TracingState>, , pybind11::name, pybind11::scope, pybind11::sibling>(torch::jit::tracer::initPythonTracerBindings(_object*)::{lambda()#2}&&, std::shared_ptr<torch::jit::tracer::TracingState> (*)(), pybind11::name const&, pybind11::scope const&, pybind11::sibling const&)::{lambda(pybind11::detail::function_call&)#1}::_FUN(pybind11::detail::function_call&)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] pybind11::detail::clear_instance(_object*)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] pybind11::detail::get_internals()
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] pybind11::gil_scoped_release::gil_scoped_release(bool) [clone .constprop.0]
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] std::_Hashtable<void const*, std::pair<void const* const, pybind11::detail::instance*>, std::allocator<std::pair<void const* const, pybind11::detail::instance*> >, std::__detail::_Select1st, std::equal_to<void const*>, std::hash<void const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, false> >::_M_insert_multi_node(std::__detail::_Hash_node<std::pair<void const* const, pybind11::detail::instance*>, false>*, unsigned long, std::__detail::_Hash_node<std::pair<void const* const, pybind11::detail::instance*>, false>*)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] std::vector<at::Tensor, std::allocator<at::Tensor> >::_M_default_append(unsigned long)@plt
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::PythonArgParser::raw_parse(_object*, _object*, _object*, _object**)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::PythonArgs::deviceOptional(int) [clone .part.0] [clone .isra.0]
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::autograd::THPVariable_data_ptr(_object*, _object*)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::autograd::THPVariable_masked_fill_(_object*, _object*, _object*)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::detail::(anonymous namespace)::ConcretePyInterpreterVTable::incref(_object*) const
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::getTHPDtype(c10::ScalarType)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::is_tensor_and_append_overloaded(_object*, std::vector<_object*, std::allocator<_object*> >*)
     0.02%  VLLM::EngineCor  libtorch_python.so                                 [.] torch::utils::tensor_to_numpy(at::Tensor const&, bool)@plt
     0.02%  VLLM::EngineCor  libzmq-7b073b3d.so.5.2.5                           [.] 0x0000000000069762
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyDict_GetItemWithError
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyDict_SetDefault
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyErr_CheckSignals
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyErr_Fetch
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyErr_Occurred
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyFloat_FromDouble
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyImport_GetModule
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyLong_FromLong
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyLong_FromUnsignedLong
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyMem_Calloc
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyMemoryView_FromObject
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyObject_GetIter
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyObject_IsTrue
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyObject_Malloc
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyObject_SetAttr
     0.02%  VLLM::EngineCor  python3.10                                         [.] PySet_Contains
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyUnicode_FromFormatV
     0.02%  VLLM::EngineCor  python3.10                                         [.] PyUnicode_RichCompare
     0.02%  VLLM::EngineCor  python3.10                                         [.] _PyErr_NormalizeException
     0.02%  VLLM::EngineCor  python3.10                                         [.] _PyObject_GC_New
     0.02%  VLLM::EngineCor  python3.10                                         [.] _PyObject_LookupSpecial
     0.02%  VLLM::EngineCor  python3.10                                         [.] _Py_Dealloc
     0.02%  VLLM::EngineCor  python3.10                                         [.] _Py_parse_inf_or_nan
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x00000000000db8c9
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x00000000001529e0
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000152a28
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000152a5f
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000152a91
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000152aa3
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000152e5e
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000153d31
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000158e85
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x000000000015c550
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000167031
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000168a0b
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000168a57
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x00000000001693b5
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000169580
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000173b4c
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000173c38
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x000000000017f317
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x000000000017f338
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x000000000017f56b
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x000000000017f59d
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000180b70
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000180c03
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000180c31
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000180c4d
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000184f40
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000184fcf
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000187fda
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x000000000018a170
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x000000000018a7db
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x000000000018af21
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x000000000018ba7b
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x000000000018cf18
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x000000000018e67c
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000192bd0
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000194be5
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x000000000019760a
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x00000000001980bd
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000198905
     0.02%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000198926
