win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783591315.376171	1783591325.516461	1	2506914
001	core	1783591325.626667	1783591335.654831	1	2509002
002	cache	1783591335.771901	1783591345.805081	1	2511859
003	fp1	1783591345.920673	1783591355.958474	1	2513522
004	fp2	1783591356.199098	1783591366.232142	1	2516547
005	mlp	1783591366.359384	1783591376.391555	1	2517971
006	fe	1783591376.511712	1783591386.543568	1	2519722
007	icache	1783591386.658149	1783591396.687994	1	2522633
008	priv	1783591396.822880	1783591406.856243	1	2524254
009	tma	1783591407.199187	1783591417.258146	1	2526816
010	core	1783591417.373037	1783591427.400240	1	2528430
011	cache	1783591427.516200	1783591437.547610	1	2530058
012	fp1	1783591438.196852	1783591448.229731	1	2532855
013	fp2	1783591448.343993	1783591458.376589	1	2534455
014	mlp	1783591458.491575	1783591468.524377	1	2537570
015	fe	1783591468.641803	1783591478.677574	1	2539242
016	icache	1783591478.798459	1783591488.828065	1	2540944
017	priv	1783591489.194412	1783591499.228702	1	2543485
018	tma	1783591499.345784	1783591509.384999	1	2545069
019	core	1783591510.139290	1783591520.169358	1	2548062
020	cache	1783591520.368062	1783591530.404872	1	2549888
021	fp1	1783591530.604454	1783591540.637605	1	2551521
022	fp2	1783591540.759944	1783591550.794066	1	2554695
023	mlp	1783591550.916846	1783591560.947321	1	2556130
024	fe	1783591561.062507	1783591571.102069	1	2557746
025	icache	1783591571.254794	1783591581.285125	1	2560847
026	priv	1783591581.403048	1783591591.436534	1	2562823
