win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783590968.607127	1783590978.695744	1	2428545
001	core	1783590979.197814	1783590989.226105	1	2430637
002	cache	1783590989.340218	1783590999.371817	1	2433512
003	fp1	1783591000.139452	1783591010.172061	1	2435161
004	fp2	1783591010.310109	1783591020.342580	1	2438184
005	mlp	1783591020.573503	1783591030.603530	1	2439619
006	fe	1783591031.139832	1783591041.172069	1	2441370
007	icache	1783591041.358828	1783591051.389544	1	2444272
008	priv	1783591051.507586	1783591061.540965	1	2445898
009	tma	1783591062.172913	1783591072.208848	1	2448463
010	core	1783591072.325090	1783591082.352582	1	2450081
011	cache	1783591082.539505	1783591092.571028	1	2451678
012	fp1	1783591092.694353	1783591102.735629	1	2454475
013	fp2	1783591102.920328	1783591112.956413	1	2456075
014	mlp	1783591113.125892	1783591123.157691	1	2457692
015	fe	1783591123.293133	1783591133.326508	1	2460871
016	icache	1783591133.441918	1783591143.472695	1	2462613
017	priv	1783591144.621810	1783591154.655717	1	2465179
018	tma	1783591155.139611	1783591165.176165	1	2466742
019	core	1783591165.349997	1783591175.378069	1	2469740
020	cache	1783591175.504731	1783591185.538086	1	2471592
021	fp1	1783591186.196176	1783591196.230155	1	2473238
022	fp2	1783591196.421085	1783591206.455418	1	2476429
023	mlp	1783591206.755761	1783591216.827817	1	2477881
024	fe	1783591217.198124	1783591227.230427	1	2480844
025	icache	1783591228.197185	1783591238.227088	1	2482632
026	priv	1783591238.354288	1783591248.388798	1	2485726
