win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783592697.910220	1783592708.015814	1	3301777
001	core	1783592708.131854	1783592718.160985	1	3305021
002	cache	1783592718.330016	1783592728.361808	1	3308537
003	fp1	1783592728.481401	1783592738.536286	1	3312017
004	fp2	1783592738.745670	1783592748.779544	1	3315458
005	mlp	1783592748.892987	1783592758.924526	0	3317277
006	fe	1783592759.046564	1783592769.079394	0	3320356
007	icache	1783592769.194239	1783592779.224138	1	3324376
008	priv	1783592779.335950	1783592789.371127	1	3327664
009	tma	1783592789.542708	1783592799.579684	1	3330785
010	core	1783592800.194675	1783592810.223022	1	3334568
011	cache	1783592810.409760	1783592820.443941	1	3337641
012	fp1	1783592820.569592	1783592830.601846	1	3340915
013	fp2	1783592830.721482	1783592840.753886	1	3344411
014	mlp	1783592841.196043	1783592851.227429	0	3346437
015	fe	1783592851.345082	1783592861.379260	0	3349822
016	icache	1783592861.530247	1783592871.560218	1	3353334
017	priv	1783592871.740771	1783592881.775750	1	3356711
018	tma	1783592881.988260	1783592892.026588	1	3360512
019	core	1783592892.244120	1783592902.271692	1	3363609
020	cache	1783592902.417636	1783592912.450399	1	3367697
021	fp1	1783592912.565209	1783592922.597290	0	3369660
022	fp2	1783592922.803582	1783592932.836825	0	3373061
023	mlp	1783592932.953614	1783592942.985112	1	3376457
024	fe	1783592943.100858	1783592953.132427	0	3379584
025	icache	1783592954.210911	1783592964.243150	1	3383059
026	priv	1783592964.442587	1783592974.475818	1	3386287
