win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783586471.574995	1783586481.669387	0	921612
001	core	1783586481.827308	1783586491.886602	1	924029
002	cache	1783586492.334403	1783586502.430012	1	926700
003	fp1	1783586502.544232	1783586512.580409	1	929384
004	fp2	1783586513.138916	1783586523.174404	1	932115
005	mlp	1783586523.311342	1783586533.347683	1	934311
006	fe	1783586533.460398	1783586543.493793	1	936860
007	icache	1783586544.193315	1783586554.224257	1	939254
008	priv	1783586554.347817	1783586564.383029	1	941669
009	tma	1783586564.504052	1783586574.541342	1	944636
010	core	1783586575.200670	1783586585.228951	0	946182
011	cache	1783586585.349518	1783586595.382642	1	949808
012	fp1	1783586596.197261	1783586606.232020	1	952448
013	fp2	1783586606.354661	1783586616.393516	1	955044
014	mlp	1783586616.513436	1783586626.543079	1	957725
015	fe	1783586626.657919	1783586636.689796	1	960293
016	icache	1783586636.807090	1783586646.837444	1	963257
017	priv	1783586646.952017	1783586656.985654	1	965701
018	tma	1783586657.194414	1783586667.230741	1	968712
019	core	1783586667.431836	1783586677.459845	1	971463
020	cache	1783586677.575296	1783586687.607346	1	973788
021	fp1	1783586687.757642	1783586697.790386	1	976061
022	fp2	1783586697.912432	1783586707.945004	1	978289
023	mlp	1783586708.197806	1783586718.227757	1	980843
024	fe	1783586718.363084	1783586728.396207	1	983281
025	icache	1783586728.605795	1783586738.651662	1	985899
026	priv	1783586739.196187	1783586749.231735	0	989431
