win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783590624.407892	1783590634.530535	1	2355854
001	core	1783590635.199080	1783590645.226043	1	2357368
002	cache	1783590645.353181	1783590655.385344	1	2360722
003	fp1	1783590656.141435	1783590666.173174	1	2362225
004	fp2	1783590666.361052	1783590676.400171	1	2363846
005	mlp	1783590676.607712	1783590686.638843	1	2365474
006	fe	1783590686.769818	1783590696.801853	1	2368180
007	icache	1783590696.922730	1783590706.953093	1	2369890
008	priv	1783590707.075212	1783590717.109948	1	2371486
009	tma	1783590717.244858	1783590727.280973	1	2373174
010	core	1783590727.495950	1783590737.523182	1	2375784
011	cache	1783590737.732697	1783590747.766055	1	2377262
012	fp1	1783590747.977960	1783590758.009430	1	2378847
013	fp2	1783590758.135879	1783590768.167491	1	2380413
014	mlp	1783590768.301986	1783590778.331907	1	2383150
015	fe	1783590778.559579	1783590788.593100	1	2384717
016	icache	1783590788.708515	1783590798.740520	1	2386305
017	priv	1783590798.884681	1783590808.918908	0	2388199
018	tma	1783590809.041765	1783590819.077172	1	2391078
019	core	1783590819.195804	1783590829.223227	1	2392384
020	cache	1783590829.356792	1783590839.389010	1	2394054
021	fp1	1783590840.140366	1783590850.174488	1	2396812
022	fp2	1783590850.353797	1783590860.385550	1	2398518
023	mlp	1783590860.505472	1783590870.536978	1	2400306
024	fe	1783590870.669972	1783590880.705201	0	2403159
025	icache	1783590881.960944	1783590891.991618	1	2405062
026	priv	1783590892.111844	1783590902.147541	1	2406481
