win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783591657.613518	1783591667.746299	1	2615890
001	core	1783591667.919411	1783591677.946945	1	2622323
002	cache	1783591678.202107	1783591688.239270	0	2630358
003	fp1	1783591688.457732	1783591698.490329	1	2638226
004	fp2	1783591698.615363	1783591708.648684	1	2646314
005	mlp	1783591708.799489	1783591718.829865	1	2653528
006	fe	1783591718.946567	1783591728.979366	0	2659552
007	icache	1783591729.200183	1783591739.232373	0	2665842
008	priv	1783591739.407710	1783591749.440313	0	2674338
009	tma	1783591750.139460	1783591760.174805	0	2679988
010	core	1783591760.354885	1783591770.382335	1	2687365
011	cache	1783591770.512534	1783591780.545274	1	2693235
012	fp1	1783591780.677479	1783591790.712260	1	2699545
013	fp2	1783591790.927989	1783591800.961047	1	2706488
014	mlp	1783591801.194193	1783591811.225384	0	2712931
015	fe	1783591812.198966	1783591822.231325	0	2719984
016	icache	1783591822.348311	1783591832.379780	0	2726423
017	priv	1783591832.548416	1783591842.581993	0	2733086
018	tma	1783591843.204902	1783591853.240226	0	2739509
019	core	1783591853.448864	1783591863.475881	0	2746385
020	cache	1783591863.626546	1783591873.660905	0	2752750
021	fp1	1783591873.785767	1783591883.819169	0	2758834
022	fp2	1783591883.933735	1783591893.968046	1	2766614
023	mlp	1783591894.197439	1783591904.227828	1	2772884
024	fe	1783591904.344321	1783591914.376873	1	2779559
025	icache	1783591914.522121	1783591924.551470	1	2785557
026	priv	1783591924.680132	1783591934.716016	1	2792580
