win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783586127.617448	1783586137.762211	1	735295
001	core	1783586138.198935	1783586148.226384	1	741281
002	cache	1783586148.350769	1783586158.382642	1	746011
003	fp1	1783586158.496321	1783586168.529529	1	751909
004	fp2	1783586168.655655	1783586178.690768	0	756978
005	mlp	1783586178.809759	1783586188.840808	1	762978
006	fe	1783586188.953670	1783586198.990445	1	768434
007	icache	1783586199.107053	1783586209.138284	1	774783
008	priv	1783586210.202584	1783586220.235432	1	780430
009	tma	1783586220.356724	1783586230.392616	1	785863
010	core	1783586230.507671	1783586240.535836	1	791276
011	cache	1783586240.666683	1783586250.699735	1	797103
012	fp1	1783586251.196291	1783586261.228760	0	802556
013	fp2	1783586261.363083	1783586271.398727	1	808188
014	mlp	1783586271.512997	1783586281.544189	0	813623
015	fe	1783586281.654624	1783586291.694754	1	820577
016	icache	1783586291.840975	1783586301.870899	1	826748
017	priv	1783586301.998320	1783586312.032533	0	832007
018	tma	1783586312.199100	1783586322.234838	0	837514
019	core	1783586322.349204	1783586332.377154	0	842895
020	cache	1783586332.492234	1783586342.533589	1	848838
021	fp1	1783586342.746545	1783586352.778488	1	855089
022	fp2	1783586352.895334	1783586362.927844	1	860184
023	mlp	1783586364.141048	1783586374.171116	0	867161
024	fe	1783586374.282860	1783586384.315370	0	871367
025	icache	1783586384.504609	1783586394.534501	0	877834
026	priv	1783586395.196193	1783586405.229182	1	883915
