win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783585780.737030	1783585790.844369	1	535518
001	core	1783585790.981835	1783585801.009098	0	540404
002	cache	1783585801.218234	1783585811.251403	0	545081
003	fp1	1783585811.369507	1783585821.402018	1	551298
004	fp2	1783585821.529829	1783585831.561856	1	557230
005	mlp	1783585832.199586	1783585842.229387	1	563218
006	fe	1783585842.354862	1783585852.386886	1	568712
007	icache	1783585853.950030	1783585863.979796	1	575049
008	priv	1783585864.203873	1783585874.243543	0	580691
009	tma	1783585874.423842	1783585884.460291	0	586135
010	core	1783585885.235497	1783585895.264408	0	591558
011	cache	1783585895.381313	1783585905.416623	1	597383
012	fp1	1783585905.537344	1783585915.571322	1	603829
013	fp2	1783585916.198050	1783585926.230759	1	609870
014	mlp	1783585926.349378	1783585936.379304	1	615584
015	fe	1783585936.501373	1783585946.542849	1	622218
016	icache	1783585946.659832	1783585956.690534	0	627039
017	priv	1783585957.198182	1783585967.234220	1	633213
018	tma	1783585967.348163	1783585977.385257	1	639094
019	core	1783585977.508820	1783585987.539849	1	644429
020	cache	1783585988.199598	1783585998.232062	1	650271
021	fp1	1783585998.346692	1783586008.398953	1	656333
022	fp2	1783586008.514982	1783586018.550464	0	660439
023	mlp	1783586018.664243	1783586028.695895	1	667457
024	fe	1783586028.834688	1783586038.866245	1	672747
025	icache	1783586039.839783	1783586049.873277	1	679402
026	priv	1783586050.194812	1783586060.228813	1	685577
