win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783587510.746348	1783587520.838301	1	1200567
001	core	1783587520.952454	1783587530.980904	1	1202278
002	cache	1783587531.097213	1783587541.133862	1	1203931
003	fp1	1783587542.206060	1783587552.237772	1	1206317
004	fp2	1783587552.353587	1783587562.385318	1	1207693
005	mlp	1783587562.499946	1783587572.536137	1	1209576
006	fe	1783587573.195140	1783587583.229608	1	1212062
007	icache	1783587583.343872	1783587593.375038	1	1213534
008	priv	1783587594.196197	1783587604.230508	1	1215232
009	tma	1783587604.355971	1783587614.395566	1	1217607
010	core	1783587614.615732	1783587624.643341	1	1218930
011	cache	1783587625.138323	1783587635.170974	1	1220391
012	fp1	1783587635.338253	1783587645.370342	1	1223020
013	fp2	1783587645.493081	1783587655.529342	1	1224303
014	mlp	1783587655.755702	1783587665.787942	1	1225746
015	fe	1783587665.919448	1783587675.954835	0	1228553
016	icache	1783587677.139880	1783587687.170203	1	1230185
017	priv	1783587687.284656	1783587697.318174	1	1231715
018	tma	1783587697.434371	1783587707.471240	1	1233278
019	core	1783587708.138717	1783587718.166422	1	1234703
020	cache	1783587718.350583	1783587728.385942	1	1236254
021	fp1	1783587728.499806	1783587738.533505	0	1237796
022	fp2	1783587738.677933	1783587748.710265	1	1240371
023	mlp	1783587749.196817	1783587759.226350	1	1241998
024	fe	1783587760.215746	1783587770.247095	1	1244677
025	icache	1783587770.421600	1783587780.451651	1	1246106
026	priv	1783587780.565306	1783587790.605509	1	1247693
