guard,1783102831.198949230
1783102831.200363439,100
1783102831.731489416,100
1783102832.254797367,100
1783102832.785533156,100
1783102833.314640209,0
1783102833.838981361,100
1783102834.363176717,100
1783102834.892561671,100
1783102835.421129908,9
1783102835.944335554,100
1783102836.473086373,100
1783102837.002346211,100
1783102837.532566860,92
1783102838.062238768,100
1783102838.590187083,100
1783102839.120084429,0
1783102839.642696033,100
1783102840.171986849,100
1783102840.700568690,100
1783102841.230422172,100
1783102841.760517301,0
1783102842.283107451,100
1783102842.813181875,100
1783102843.342605158,100
1783102843.871952746,100
1783102844.402001117,100
1783102844.931381271,100
1783102845.461558397,100
1783102845.991278998,100
1783102846.520022526,0
1783102847.042523203,100
1783102847.572028683,100
1783102848.100726543,100
1783102848.622996299,100
1783102849.153821261,100
1783102849.683541546,100
1783102850.215874229,100
1783102850.744158348,100
1783102851.273097768,0
1783102851.795180948,100
1783102852.325384857,100
1783102852.854716530,100
1783102853.383787760,100
1783102853.913966062,100
1783102854.442581417,100
1783102854.970881285,100
1783102855.500169749,100
1783102856.030426055,0
1783102856.552639285,100
1783102857.082717023,100
1783102857.612526017,100
1783102858.141938688,74
1783102858.672263777,100
1783102859.202346458,100
1783102859.730757294,100
1783102860.261319878,100
1783102860.789712388,0
1783102861.315221701,100
1783102861.844641682,100
1783102862.374578497,100
1783102862.904310474,100
1783102863.434016385,100
1783102863.963189812,100
1783102864.491440455,100
1783102865.019028848,100
1783102865.546707955,100
1783102866.074487222,64
1783102866.602838303,100
1783102867.130200752,100
1783102867.658411967,0
1783102868.180973795,100
1783102868.711272228,100
1783102869.240343014,100
1783102869.769050571,10
1783102870.293297369,100
1783102870.823104541,0
1783102871.345933129,100
1783102871.874785086,100
1783102872.404053186,100
1783102872.932174873,100
1783102873.461456863,100
1783102873.990193756,100
1783102874.519453511,100
1783102875.049973067,100
1783102875.579318588,100
1783102876.108990210,0
1783102876.632081932,0
1783102877.153922645,100
1783102877.683513165,100
1783102878.214345226,100
1783102878.743027202,0
1783102879.266501593,0
