win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783596512.772547	1783596522.878696	1	4945422
001	core	1783596523.060746	1783596533.088949	1	4949216
002	cache	1783596533.223112	1783596543.257314	0	4951365
003	fp1	1783596543.444787	1783596553.478507	1	4955239
004	fp2	1783596553.594305	1783596563.631059	1	4959468
005	mlp	1783596563.749394	1783596573.795054	1	4963448
006	fe	1783596573.924836	1783596583.957620	1	4967026
007	icache	1783596584.074694	1783596594.106407	1	4971588
008	priv	1783596594.340153	1783596604.375017	0	4973801
009	tma	1783596604.514427	1783596614.550187	0	4977511
010	core	1783596615.197455	1783596625.225095	1	4981657
011	cache	1783596625.340730	1783596635.373640	1	4985722
012	fp1	1783596635.497993	1783596645.532770	1	4989337
013	fp2	1783596646.200359	1783596656.235158	1	4993184
014	mlp	1783596656.363539	1783596666.393951	0	4995405
015	fe	1783596666.545804	1783596676.578651	1	4999503
016	icache	1783596676.726040	1783596686.757522	1	5003705
017	priv	1783596686.955265	1783596696.990640	1	5007378
018	tma	1783596697.206824	1783596707.245808	1	5011512
019	core	1783596707.369275	1783596717.400709	0	5013965
020	cache	1783596717.527942	1783596727.563421	0	5017657
021	fp1	1783596727.792146	1783596737.829893	1	5022303
022	fp2	1783596738.033331	1783596748.070101	1	5026367
023	mlp	1783596748.222604	1783596758.255732	1	5030056
024	fe	1783596758.474802	1783596768.510787	0	5032415
025	icache	1783596768.738610	1783596778.771312	0	5036086
026	priv	1783596778.917243	1783596788.952403	1	5040134
