10266.587528 21
10266.597629 21
10266.607728 21
10266.730453 3
10266.740553 3
10269.125771 7
10269.242320 3
10269.252420 3
10269.306826 2
10272.443235 3
10272.453336 3
10272.463436 3
10272.579710 3
10272.589810 3
10272.648708 2
10274.654629 3
10274.664730 3
10274.674831 3
10274.738895 3
10274.804455 7
10275.465108 2
10277.745953 16
10277.909516 3
10277.919616 3
10278.879465 2
10280.381040 3
10280.391140 3
10280.401240 3
10280.465267 3
10280.527418 3
10282.092112 2
10286.023383 3
10286.033484 3
10286.043585 3
10286.053686 3
10286.109006 7
10286.168331 16
10286.178432 16
10291.363253 7
10291.365434 21
10291.529400 16
10291.539501 16
10294.296006 7
10294.461063 16
10294.471164 16
10297.003024 7
10297.059678 16
10297.069779 16
10297.080238 2
10297.090339 2
10297.204038 16
10297.214138 16
10300.178020 7
10301.848848 14
10301.854521 16
10301.864621 16
10301.879779 2
10301.994366 16
10302.004466 16
10302.965691 7
10312.491598 7
10315.509545 21
10315.571825 15
10315.581925 15
10315.592025 15
10315.596909 7
10315.711999 22
10315.722100 22
10321.293085 7
10329.797869 7
10329.960594 22
10329.970695 22
10333.024503 7
10333.079352 22
10333.089453 22
10333.099553 22
10333.109654 22
10333.224350 7
10333.234451 7
10338.227320 7
10338.395879 22
10338.405980 22
10343.152279 3
10343.316799 22
10343.326899 22
10346.355152 3
10346.526045 22
10346.536146 22
10346.594990 9
10350.082838 3
10350.083758 16
10350.085359 5
10350.139002 22
10350.259820 22
10350.269920 22
10353.688984 3
10353.857428 2
10353.867528 2
10356.955501 3
10357.009342 22
10357.024885 7
10357.034985 7
10357.097875 7
10357.151676 20
10357.161776 20
10360.531938 8
10366.082179 22
10366.242701 20
10366.252802 20
10370.024381 22
10371.175564 20
10371.185665 20
10371.195765 20
10371.205866 20
10371.264945 23
10371.322852 20
10371.332952 20
10372.692545 22
10380.164591 22
10380.279682 3
10380.339457 23
10380.349558 23
10383.299724 22
10383.469864 20
10383.479964 20
10387.649079 22
10388.360103 20
10388.370203 20
10388.380304 20
10388.497298 20
10388.507399 20
10390.974238 22
10391.966638 20
10391.989390 2
10392.004773 2
10392.020162 2
10392.036792 2
10392.053953 2
10392.067149 2
10392.087334 2
10392.101769 2
10392.112146 2
10392.123508 2
10392.135160 2
10392.145339 2
10392.155440 2
10392.167273 2
10392.177852 2
10392.188181 2
10392.198282 2
10392.208690 2
10392.218790 2
10392.230365 2
10392.241800 2
10392.253057 2
10392.263480 2
10392.273581 2
10392.283681 2
10392.293971 2
10392.304072 2
10392.314173 2
10392.324570 2
10392.334671 2
10392.344983 2
10392.363184 2
10392.394288 23
10392.404758 23
10392.415226 23
10392.428500 2
10392.491350 2
10392.553981 2
10392.564082 2
10395.486264 16
10395.539353 7
10395.649807 3
10395.659907 3
10400.630407 7
10409.555469 7
10418.580434 7
10420.370599 3
10420.380699 3
10421.944029 7
10423.695515 21
10423.747151 2
10423.856387 3
10423.866488 3
10424.027472 7
10427.694577 3
10427.704675 3
10427.714781 7
10430.998170 3
10431.008270 3
10431.018371 3
10431.028472 3
10431.084598 7
10431.145558 3
10435.420588 7
10444.044996 7
10453.470518 7
10462.773285 7
10462.827664 3
10462.944033 3
10462.954134 3
10467.217927 7
10468.511012 3
10468.521112 3
10468.531213 3
10468.591479 20
10468.592653 21
10468.648422 3
10468.658523 3
10469.618374 7
10478.443153 7
10486.514383 7
10486.679556 3
10486.689657 3
10490.960106 7
10492.848800 3
10492.858900 3
10492.869001 3
10492.884805 3
10492.999152 16
10493.009252 16
10494.269541 7
10504.796794 7
10513.521498 7
10514.436908 16
10514.447008 16
10516.008380 7
10520.851874 21
10520.907969 16
10520.918070 16
10520.928170 16
10520.938272 16
10520.996055 7
10521.055250 16
10521.065351 16
10529.138469 7
10529.210118 16
10529.220219 16
10529.230320 16
10529.346955 7
10529.357056 7
10532.020287 7
10536.179089 16
10536.189191 16
10536.199291 16
10536.209391 16
10536.326310 16
10536.389508 7
10545.212145 7
10546.378497 16
10546.383913 2
10546.394014 2
10546.404114 2
10546.414215 2
10546.531915 2
10547.696371 7
10556.120411 7
10564.945190 7
10568.819736 20
10568.821173 21
10568.872842 3
10568.987320 16
10568.997421 16
10569.054635 7
10576.214994 16
10576.225094 16
10576.235195 16
10576.294806 7
10576.352109 16
10576.362210 16
10581.335010 7
10589.759464 7
10590.862507 2
10595.384720 16
10595.501199 16
10595.511301 16
10597.970289 7
10598.997346 16
10599.007447 16
10600.565572 7
10602.014779 21
10602.182419 16
10602.192519 16
10603.450698 7
10606.022349 5
10606.135635 16
10606.145735 16
10606.703307 7
10609.148532 16
10609.158633 16
10609.168734 16
10609.285661 16
10609.295761 16
10609.957748 7
10617.548312 16
10617.601107 7
10617.604054 20
10617.605023 21
10617.664769 16
10617.674870 16
10623.844437 7
10625.463024 16
10625.473124 16
10625.483225 16
10625.596048 3
10625.600294 16
10625.610395 16
10626.971108 7
10636.196080 7
10638.930091 16
10638.940192 16
10638.950293 16
10638.960394 16
10639.016671 23
10639.071774 7
10639.081875 7
10640.342934 7
10645.212822 16
10645.222922 16
10645.233023 16
10645.349960 16
10645.360061 16
10645.416954 7
10651.806687 7
10651.915971 21
10651.968216 16
10651.978317 16
10657.653100 7
10660.376475 16
10660.493541 2
10660.503642 2
10661.060182 7
10663.616517 16
10663.626618 16
10664.689248 7
10671.831636 16
10671.841737 16
10671.851837 16
10671.861940 16
10671.916758 7
10671.978850 16
10671.988951 16
10676.957958 7
10685.682021 7
10686.651497 20
10686.652691 21
10686.708786 16
10686.718886 16
10691.188589 2
10697.161622 16
10697.192877 16
10697.225863 16
10697.236718 16
10697.246818 16
10697.256919 16
10697.267020 16
10697.277121 16
10697.287221 16
10697.297322 16
10697.307423 16
10697.317524 16
10697.327625 16
10697.337725 16
10697.353632 16
10697.390670 16
10697.434524 16
10697.472216 16
10697.516385 16
10697.545348 16
10697.545952 3
10697.556045 16
10697.566146 16
10697.576246 16
10697.586347 16
10697.596448 16
10697.606548 16
10697.616649 16
10697.626750 16
10697.636851 16
10697.646952 16
10697.654385 2
10697.664485 2
10697.674585 2
10697.684686 2
10697.694787 2
10697.704888 2
10697.714989 2
10697.725089 2
10697.735190 2
10697.745291 2
10697.759676 2
10697.769777 2
10697.779878 2
10697.789979 2
10697.907034 16
10697.917118 16
10697.977660 2
10707.601315 2
10709.570030 16
10709.580131 16
10709.590232 16
10709.600332 16
10709.716602 16
10709.726702 16
10711.185964 2
10717.530602 2
10717.595143 5
10717.605244 5
10717.615344 5
10717.625445 5
10717.635545 5
10717.645647 5
10717.655748 5
10717.665849 5
10717.675950 5
10717.686051 5
10717.696151 5
10717.706252 5
10717.716353 5
10717.726454 5
10717.736554 5
10717.746655 5
10717.756756 5
10717.766857 5
10717.776958 5
10717.787059 5
10717.797159 5
10717.807260 5
10717.817361 5
10717.827462 5
10717.837563 5
10717.847663 5
10717.857765 5
10717.867865 5
10717.877966 5
10717.888067 5
10717.898167 5
10717.916144 7
10717.926244 7
10717.936346 7
10717.946446 7
10717.956548 7
10717.957959 5
10718.170614 16
10718.180715 16
10718.243065 2
10727.967030 2
10728.753894 16
10728.870442 16
