win	group	t_start	t_end	alive_after
130	dram_bw	1784068083.788472	1784068088.810396	1
131	priv	1784068088.812912	1784068093.834909	1
132	fe_lat	1784068093.837651	1784068098.861109	1
133	fe	1784068098.863564	1784068103.887038	1
134	core_ports	1784068103.889663	1784068108.912709	1
135	cache	1784068108.915146	1784068113.938060	1
136	cache	1784068113.943656	1784068118.966491	1
137	fpbr	1784068118.968938	1784068123.990560	1
138	fe	1784068123.992943	1784068129.016451	1
139	core_ports	1784068129.018869	1784068134.042945	1
140	fe_lat	1784068134.045451	1784068139.069511	1
141	priv	1784068139.072199	1784068144.096503	1
142	mlp	1784068144.099494	1784068149.121473	1
143	dram_bw	1784068149.124153	1784068154.147083	1
144	fe_lat	1784068154.153944	1784068159.177756	1
145	mlp	1784068159.180126	1784068164.201678	1
146	fe	1784068164.204145	1784068169.227020	1
147	dram_bw	1784068169.229466	1784068174.250181	1
148	core_ports	1784068174.252739	1784068179.275867	1
149	fpbr	1784068179.278509	1784068184.300242	1
150	cache	1784068184.302843	1784068189.325912	1
151	priv	1784068189.328371	1784068194.352377	1
152	fe	1784068194.359606	1784068199.384479	1
153	mlp	1784068199.387362	1784068204.408946	1
154	cache	1784068204.411774	1784068209.436465	1
155	fpbr	1784068209.439196	1784068214.462662	1
156	core_ports	1784068214.465376	1784068219.488842	1
157	dram_bw	1784068219.491239	1784068224.512364	1
158	priv	1784068224.514947	1784068229.538105	1
159	fe_lat	1784068229.540654	1784068234.563872	1
160	dram_bw	1784068234.569742	1784068239.591351	1
161	cache	1784068239.593872	1784068244.616881	1
162	fe_lat	1784068244.619401	1784068249.642428	1
163	fpbr	1784068249.644995	1784068254.666801	1
164	fe	1784068254.669247	1784068259.693290	1
165	mlp	1784068259.695972	1784068264.716479	1
166	core_ports	1784068264.719000	1784068269.741963	1
167	priv	1784068269.744732	1784068274.769129	1
168	fe	1784068274.775408	1784068279.799557	1
169	priv	1784068279.802026	1784068284.824244	1
170	fe_lat	1784068284.826959	1784068289.850748	1
171	core_ports	1784068289.853449	1784068294.876952	1
172	fpbr	1784068294.879457	1784068299.902136	1
173	cache	1784068299.904978	1784068304.930416	1
174	dram_bw	1784068304.933007	1784068309.955029	1
175	mlp	1784068309.957584	1784068314.978306	1
176	fe_lat	1784068314.984452	1784068320.007254	1
177	fe	1784068320.009807	1784068325.032895	1
178	dram_bw	1784068325.035575	1784068330.056849	1
179	cache	1784068330.059365	1784068335.082988	1
180	fpbr	1784068335.086367	1784068340.108385	1
181	priv	1784068340.110874	1784068345.132374	1
182	mlp	1784068345.134943	1784068350.156024	1
183	core_ports	1784068350.158885	1784068355.184751	1
184	fe_lat	1784068355.191196	1784068360.216203	1
185	fpbr	1784068360.218990	1784068365.243408	1
186	core_ports	1784068365.246341	1784068370.271603	1
187	cache	1784068370.274512	1784068375.299790	1
188	fe	1784068375.302613	1784068380.327926	1
189	priv	1784068380.330768	1784068385.355885	1
190	dram_bw	1784068385.358984	1784068390.381723	1
191	mlp	1784068390.384437	1784068395.406075	1
192	fe	1784068395.412274	1784068400.436192	1
193	fpbr	1784068400.438835	1784068405.460548	0
