1782574389.024741759,0,32
1782574390.060760376,0,32
1782574391.096452845,0,32
1782574392.132838392,0,32
1782574393.168028429,0,32
1782574394.204345979,0,32
1782574395.240337792,0,32
1782574396.285958771,0,32
1782574397.319859263,0,32
1782574398.356040545,0,32
1782574399.391406576,0,32
1782574400.430858271,0,32
1782574401.466410019,0,32
1782574402.504660598,0,32
1782574403.541394258,0,32
1782574404.578704288,0,32
1782574405.616549891,0,32
1782574406.653142674,0,32
1782574407.692934445,0,32
1782574408.731224295,0,32
1782574409.766931564,0,32
1782574410.804074773,0,32
1782574411.841490825,0,32
1782574412.880334007,0,32
1782574413.917505393,0,32
1782574414.955344584,0,32
1782574415.995277486,0,32
1782574417.034552250,0,32
1782574418.071714350,0,32
1782574419.102977150,0,32
1782574420.142661317,0,32
1782574421.178659563,0,32
1782574422.214480928,0,32
1782574423.250439480,0,32
1782574424.289825762,0,32
1782574425.328222236,0,32
1782574426.366903377,0,32
1782574427.405759590,0,32
1782574428.443690931,0,32
1782574429.478512101,0,32
1782574430.515728813,0,32
1782574431.551955471,0,32
1782574432.589013481,0,32
1782574433.626653306,0,32
1782574434.663251200,0,32
1782574435.700265060,0,32
1782574436.740339914,0,32
1782574437.777086351,0,32
1782574438.815717303,0,32
1782574439.851644539,0,32
1782574440.888132936,0,32
1782574441.925593955,0,32
1782574442.959137828,0,32
1782574443.992759489,0,32
1782574445.029740395,0,32
1782574446.064064638,0,32
1782574447.101739950,0,32
1782574448.138656704,0,32
1782574449.175577718,0,32
1782574450.211268389,0,32
1782574451.248498565,0,32
1782574452.287594894,0,32
1782574453.324758819,0,32
1782574454.361547914,0,32
1782574455.399426447,0,32
1782574456.438759242,0,32
1782574457.475806913,0,32
1782574458.515670266,0,32
1782574459.549877398,0,32
1782574460.585687618,0,32
1782574461.624965315,0,32
1782574462.665107580,0,32
1782574463.702213278,0,32
1782574464.737333892,0,32
1782574465.777379126,0,32
1782574466.813631079,0,32
1782574467.848911848,0,32
1782574468.887217717,0,32
1782574469.927840641,0,32
1782574470.966645687,0,32
1782574472.004884366,0,32
