win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783589243.397029	1783589253.510328	1	1856515
001	core	1783589254.198136	1783589264.225211	0	1861476
002	cache	1783589264.340356	1783589274.374502	1	1867874
003	fp1	1783589274.489872	1783589284.523544	0	1873200
004	fp2	1783589284.637031	1783589294.669560	1	1879610
005	mlp	1783589294.789806	1783589304.819514	0	1886483
006	fe	1783589306.030683	1783589316.062672	1	1892490
007	icache	1783589316.242553	1783589326.274645	1	1898652
008	priv	1783589326.506463	1783589336.540473	0	1903666
009	tma	1783589336.675894	1783589346.713277	1	1910707
010	core	1783589346.834609	1783589356.862888	1	1916022
011	cache	1783589356.978374	1783589367.010632	1	1921799
012	fp1	1783589367.155331	1783589377.199650	0	1927203
013	fp2	1783589377.316436	1783589387.349320	0	1933028
014	mlp	1783589388.576101	1783589398.622437	1	1940027
015	fe	1783589399.197627	1783589409.231547	0	1946234
016	icache	1783589409.354516	1783589419.387286	1	1952653
017	priv	1783589420.195442	1783589430.228981	0	1957997
018	tma	1783589430.342277	1783589440.379657	1	1964916
019	core	1783589440.494196	1783589450.529889	1	1970451
020	cache	1783589450.644761	1783589460.676459	1	1976475
021	fp1	1783589461.197801	1783589471.229694	0	1981638
022	fp2	1783589471.343277	1783589481.374823	1	1987832
023	mlp	1783589481.490977	1783589491.521361	1	1994693
024	fe	1783589492.196195	1783589502.230839	1	1999536
025	icache	1783589502.370948	1783589512.400716	1	2006181
026	priv	1783589512.516127	1783589522.549127	0	2011539
