guard,1783104516.533159359
1783104516.534602619,100
1783104517.065639576,100
1783104517.596337093,100
1783104518.127238229,100
1783104518.656516741,100
1783104519.185409106,100
1783104519.715184900,100
1783104520.245075633,100
1783104520.776147841,100
1783104521.307353851,100
1783104521.836715153,100
1783104522.366548142,100
1783104522.895277366,100
1783104523.425569571,100
1783104523.954933543,100
1783104524.483614122,100
1783104525.014292459,100
1783104525.543862322,100
1783104526.073150112,100
1783104526.601442297,100
1783104527.130646065,100
1783104527.660539966,100
1783104528.190238332,100
1783104528.719989153,100
1783104529.249935164,100
1783104529.779748062,100
1783104530.309366283,100
1783104530.839440045,100
1783104531.369227919,100
1783104531.898970985,100
1783104532.428576601,100
1783104532.959049547,100
1783104533.489121490,100
1783104534.018444499,100
1783104534.547605923,100
1783104535.077110644,100
1783104535.606736162,100
1783104536.136338491,100
1783104536.665579629,100
1783104537.195430332,100
1783104537.724330295,100
1783104538.254788584,100
1783104538.785135758,100
1783104539.315485210,100
1783104539.846073228,100
1783104540.376458193,100
1783104540.907862864,100
1783104541.437541918,100
1783104541.966872526,100
1783104542.496161775,100
1783104543.026423466,100
1783104543.555792616,100
1783104544.085417803,100
1783104544.614881492,100
1783104545.144477666,100
1783104545.673580903,100
1783104546.204139077,100
1783104546.734229648,100
1783104547.264742607,100
1783104547.794968654,100
1783104548.323615478,100
1783104548.854149900,100
1783104549.383708645,100
1783104549.914715937,100
1783104550.444061389,100
1783104550.973563963,100
1783104551.504385115,100
1783104552.033411133,100
1783104552.562911551,100
1783104553.092731509,100
1783104553.621041196,100
1783104554.150078611,100
1783104554.679445323,100
1783104555.210151089,100
1783104555.740271350,100
1783104556.269392900,100
1783104556.798229168,100
1783104557.328445932,100
1783104557.858425016,100
1783104558.388760365,100
1783104558.917287075,100
1783104559.447314639,100
1783104559.975704905,100
1783104560.504295045,100
1783104561.034415452,100
1783104561.563525062,100
1783104562.093162676,100
1783104562.623155195,100
1783104563.153541112,100
1783104563.683645294,100
1783104564.212380006,100
1783104564.742166922,100
1783104565.271378397,100
1783104565.801027919,100
1783104566.329686339,100
1783104566.858875362,100
1783104567.388501990,100
1783104567.918037720,100
1783104568.447367220,13
