win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783597202.578065	1783597212.695342	1	5166016
001	core	1783597213.202535	1783597223.231606	1	5168080
002	cache	1783597224.140050	1783597234.172535	1	5170633
003	fp1	1783597234.290347	1783597244.324573	0	5172888
004	fp2	1783597244.445246	1783597254.488081	1	5176709
005	mlp	1783597254.606517	1783597264.640897	1	5178888
006	fe	1783597264.823809	1783597274.878266	1	5181234
007	icache	1783597275.199996	1783597285.234225	1	5183182
008	priv	1783597285.381834	1783597295.440298	0	5185687
009	tma	1783597295.607261	1783597305.643168	1	5189702
010	core	1783597305.768668	1783597315.796937	1	5191832
011	cache	1783597315.940269	1783597325.973699	1	5193834
012	fp1	1783597326.183746	1783597336.216855	1	5195866
013	fp2	1783597336.433303	1783597346.467892	0	5198124
014	mlp	1783597346.586814	1783597356.619755	1	5202664
015	fe	1783597356.774811	1783597366.825054	1	5204669
016	icache	1783597367.041810	1783597377.071367	1	5206785
017	priv	1783597377.200724	1783597387.242169	1	5208776
018	tma	1783597387.458559	1783597397.498943	0	5211340
019	core	1783597397.705787	1783597407.749530	1	5215434
020	cache	1783597407.961402	1783597417.995282	1	5217290
021	fp1	1783597418.222471	1783597428.256828	1	5219479
022	fp2	1783597428.374041	1783597438.406451	1	5221563
023	mlp	1783597438.532441	1783597448.564919	0	5223741
024	fe	1783597449.145871	1783597459.181547	1	5227960
025	icache	1783597459.354299	1783597469.386066	1	5230120
026	priv	1783597469.508690	1783597479.547799	1	5232341
