win	group	t_start	t_end	alive_after
127	mlp	1784124507.459700	1784124512.478670	1
128	core_ports	1784124512.479764	1784124517.507116	1
129	cache	1784124517.507192	1784124522.528248	1
130	dram_bw	1784124522.528324	1784124527.547934	1
131	fe_lat	1784124527.548013	1784124532.569681	1
132	priv	1784124532.569757	1784124537.588811	1
133	fpbr	1784124537.588888	1784124542.609813	1
134	fe	1784124542.609891	1784124547.632614	1
135	mlp	1784124547.632687	1784124552.650298	1
136	mlp	1784124552.651349	1784124557.669627	1
137	cache	1784124557.669685	1784124562.689911	1
138	priv	1784124562.689970	1784124567.709133	1
139	fpbr	1784124567.709190	1784124572.728651	1
140	core_ports	1784124572.728727	1784124577.750410	1
141	fe	1784124577.750489	1784124582.770994	1
142	dram_bw	1784124582.771071	1784124587.789704	1
143	fe_lat	1784124587.789780	1784124592.812237	1
144	fe_lat	1784124592.813352	1784124597.835199	1
145	priv	1784124597.835279	1784124602.855076	1
146	cache	1784124602.855153	1784124607.875767	1
147	mlp	1784124607.875845	1784124612.893732	1
148	fe	1784124612.893815	1784124617.916819	1
149	core_ports	1784124617.916880	1784124622.937312	1
150	fpbr	1784124622.937379	1784124627.961594	1
151	dram_bw	1784124627.961655	1784124632.980188	1
152	cache	1784124632.981228	1784124638.004290	1
153	priv	1784124638.004380	1784124643.028740	1
154	mlp	1784124643.028818	1784124648.047347	1
155	fe_lat	1784124648.047426	1784124653.068011	1
156	fpbr	1784124653.068088	1784124658.089377	1
157	dram_bw	1784124658.089456	1784124663.112158	1
158	fe	1784124663.112227	1784124668.134288	1
159	core_ports	1784124668.134356	1784124673.154595	1
160	fpbr	1784124673.155619	1784124678.174605	1
161	cache	1784124678.174664	1784124683.196078	1
162	priv	1784124683.196138	1784124688.217065	1
163	core_ports	1784124688.217121	1784124693.241309	1
164	fe	1784124693.241382	1784124698.265449	1
165	dram_bw	1784124698.265529	1784124703.285582	1
166	mlp	1784124703.285659	1784124708.303364	1
167	fe_lat	1784124708.303441	1784124713.324077	1
168	core_ports	1784124713.325199	1784124718.347231	1
169	fe	1784124718.347308	1784124723.369116	1
170	priv	1784124723.369200	1784124728.388422	1
171	dram_bw	1784124728.388498	1784124733.407639	1
172	cache	1784124733.407715	1784124738.428402	1
173	mlp	1784124738.428482	1784124743.446747	1
174	fe_lat	1784124743.446826	1784124748.468511	1
175	fpbr	1784124748.468590	1784124753.495549	1
176	cache	1784124753.496666	1784124758.520397	1
177	core_ports	1784124758.520478	1784124763.541013	1
178	fpbr	1784124763.541093	1784124768.562961	1
179	fe	1784124768.563041	1784124773.585349	1
180	dram_bw	1784124773.585407	1784124778.604775	1
181	mlp	1784124778.604834	1784124783.624506	1
182	priv	1784124783.624564	1784124788.644124	1
183	fe_lat	1784124788.644181	1784124793.664403	1
184	fe_lat	1784124793.665451	1784124798.685552	1
185	mlp	1784124798.685611	1784124803.702905	1
186	dram_bw	1784124803.702963	1784124808.721096	1
187	fpbr	1784124808.721154	1784124813.740238	1
188	priv	1784124813.740297	1784124818.758972	1
189	fe	1784124818.759031	1784124823.784868	1
190	cache	1784124823.784926	1784124828.805855	1
191	core_ports	1784124828.805913	1784124833.826141	1
192	fpbr	1784124833.827158	1784124838.845900	1
193	fe	1784124838.845961	1784124843.866148	1
194	core_ports	1784124843.866226	1784124848.887033	1
195	mlp	1784124848.887095	1784124853.904357	1
196	priv	1784124853.904415	1784124858.923183	1
197	fe_lat	1784124858.923242	1784124863.945159	1
198	cache	1784124863.945219	1784124868.965827	1
199	dram_bw	1784124868.965885	1784124873.983944	1
200	dram_bw	1784124873.984964	1784124879.003129	1
201	fe_lat	1784124879.003189	1784124884.025054	1
202	priv	1784124884.025115	1784124889.044000	1
203	core_ports	1784124889.044059	1784124894.063837	1
204	mlp	1784124894.063896	1784124899.081302	1
205	fe	1784124899.081367	1784124904.102997	1
206	cache	1784124904.103056	1784124909.125742	1
207	fpbr	1784124909.125802	1784124914.145346	1
208	priv	1784124914.146389	1784124919.167567	1
209	fe	1784124919.167637	1784124924.191064	1
210	fe_lat	1784124924.191125	1784124929.211492	1
211	cache	1784124929.211552	1784124934.231797	1
212	dram_bw	1784124934.231860	1784124939.251998	1
213	mlp	1784124939.252056	1784124944.272522	1
214	fpbr	1784124944.272612	1784124949.293188	1
215	core_ports	1784124949.293248	1784124954.313471	1
216	mlp	1784124954.314499	1784124959.332531	1
217	fpbr	1784124959.332590	1784124964.351526	1
218	priv	1784124964.351584	1784124969.370990	1
219	core_ports	1784124969.371048	1784124974.391326	1
220	cache	1784124974.391394	1784124979.414498	1
221	fe	1784124979.414555	1784124984.436436	1
222	dram_bw	1784124984.436496	1784124989.457420	0
