win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783594085.432172	1783594095.548694	1	3735365
001	core	1783594095.715390	1783594105.745809	1	3737120
002	cache	1783594105.883243	1783594115.915323	0	3739208
003	fp1	1783594116.198008	1783594126.231173	1	3742569
004	fp2	1783594126.348910	1783594136.382376	1	3744478
005	mlp	1783594136.505126	1783594146.534964	1	3746403
006	fe	1783594147.195825	1783594157.228814	1	3748462
007	icache	1783594157.343879	1783594167.375906	1	3751939
008	priv	1783594167.529438	1783594177.562125	1	3753812
009	tma	1783594177.686546	1783594187.725439	1	3755841
010	core	1783594188.194724	1783594198.230461	1	3757694
011	cache	1783594198.353284	1783594208.385429	1	3760754
012	fp1	1783594208.522362	1783594218.554754	1	3762799
013	fp2	1783594218.681446	1783594228.713869	1	3765224
014	mlp	1783594229.139666	1783594239.168962	1	3767241
015	fe	1783594239.284681	1783594249.316687	0	3768933
016	icache	1783594249.520603	1783594259.550391	1	3772072
017	priv	1783594260.140486	1783594270.175506	1	3774394
018	tma	1783594270.366279	1783594280.403805	1	3776338
019	core	1783594281.193880	1783594291.222714	0	3778258
020	cache	1783594291.346253	1783594301.380191	1	3781325
021	fp1	1783594301.497103	1783594311.531271	1	3783159
022	fp2	1783594312.197604	1783594322.241127	1	3785096
023	mlp	1783594322.359567	1783594332.394253	0	3787068
024	fe	1783594332.510334	1783594342.543388	1	3790584
025	icache	1783594342.704730	1783594352.737085	1	3792505
026	priv	1783594352.958436	1783594362.991793	1	3794691
