win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783587857.571747	1783587867.699413	1	1267763
001	core	1783587867.860687	1783587877.893958	1	1270695
002	cache	1783587878.014366	1783587888.047071	1	1272079
003	fp1	1783587888.254445	1783587898.295004	1	1273586
004	fp2	1783587898.409932	1783587908.442748	1	1276422
005	mlp	1783587908.569689	1783587918.601374	1	1277701
006	fe	1783587918.745160	1783587928.780315	1	1280431
007	icache	1783587929.197865	1783587939.228222	1	1282192
008	priv	1783587940.198224	1783587950.233865	1	1283692
009	tma	1783587950.351741	1783587960.389270	1	1285926
010	core	1783587960.510777	1783587970.538159	1	1287434
011	cache	1783587971.194784	1783587981.228693	1	1290124
012	fp1	1783587981.416859	1783587991.449165	1	1291450
013	fp2	1783587992.140287	1783588002.172134	1	1293920
014	mlp	1783588002.349797	1783588012.381847	1	1295742
015	fe	1783588012.505801	1783588022.538347	1	1297374
016	icache	1783588022.720224	1783588032.750402	1	1298954
017	priv	1783588032.865470	1783588042.910855	1	1300499
018	tma	1783588043.028556	1783588053.064084	1	1303079
019	core	1783588053.279700	1783588063.320891	1	1304686
020	cache	1783588063.529273	1783588073.564617	1	1306234
021	fp1	1783588073.698085	1783588083.732415	1	1308887
022	fp2	1783588083.859898	1783588093.893822	1	1310775
023	mlp	1783588094.011126	1783588104.042124	1	1313121
024	fe	1783588105.139906	1783588115.171550	1	1314737
025	icache	1783588115.286015	1783588125.315360	1	1317768
026	priv	1783588125.434667	1783588135.467523	1	1319273
