win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783588551.545972	1783588561.646144	1	1435763
001	core	1783588562.197236	1783588572.224607	1	1441828
002	cache	1783588572.344510	1783588582.385404	1	1448729
003	fp1	1783588582.593081	1783588592.625557	1	1455452
004	fp2	1783588593.213975	1783588603.248118	0	1461272
005	mlp	1783588603.435448	1783588613.467390	1	1467688
006	fe	1783588613.590410	1783588623.626893	1	1474074
007	icache	1783588623.752771	1783588633.791019	1	1479153
008	priv	1783588633.915241	1783588643.950709	0	1485075
009	tma	1783588644.071695	1783588654.110993	1	1491036
010	core	1783588654.277307	1783588664.306761	1	1497315
011	cache	1783588665.197325	1783588675.232511	1	1503171
012	fp1	1783588675.368938	1783588685.402711	1	1508651
013	fp2	1783588685.622202	1783588695.663649	0	1514351
014	mlp	1783588695.869013	1783588705.898524	1	1521681
015	fe	1783588706.202383	1783588716.236009	1	1526978
016	icache	1783588716.351931	1783588726.382819	0	1532127
017	priv	1783588726.508023	1783588736.541786	1	1539063
018	tma	1783588736.742062	1783588746.777374	0	1545344
019	core	1783588746.988020	1783588757.028039	1	1550307
020	cache	1783588757.239960	1783588767.275157	1	1556794
021	fp1	1783588767.396742	1783588777.428866	1	1562098
022	fp2	1783588777.639770	1783588787.673834	1	1568332
023	mlp	1783588787.797916	1783588797.831237	1	1573673
024	fe	1783588797.944527	1783588807.978500	0	1579210
025	icache	1783588808.096282	1783588818.127825	1	1586205
026	priv	1783588819.140338	1783588829.174799	1	1593302
