# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 51K of event 'task-clock'
# Event count (approx.): 260417052875
#
# Overhead  Command  Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  .......  .................................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  python   python3.10                                         [.] _PyObject_Call_Prepend
     0.00%  python   python3.10                                         [.] _PyObject_New
     0.00%  python   python3.10                                         [.] _Py_dg_dtoa
     0.00%  python   python3.10                                         [.] __errno_location@plt
     0.00%  python   python3.10                                         [.] free@plt
     0.00%  python   python3.10                                         [.] pthread_self@plt
     0.00%  python   python3.10                                         [.] 0x0000000000079f4d
     0.00%  python   python3.10                                         [.] 0x0000000000079f5e
     0.00%  python   python3.10                                         [.] 0x000000000014ee2d
     0.00%  python   python3.10                                         [.] 0x00000000001501c1
     0.00%  python   python3.10                                         [.] 0x00000000001501eb
     0.00%  python   python3.10                                         [.] 0x0000000000150277
     0.00%  python   python3.10                                         [.] 0x000000000015027b
     0.00%  python   python3.10                                         [.] 0x0000000000150284
     0.00%  python   python3.10                                         [.] 0x00000000001502d4
     0.00%  python   python3.10                                         [.] 0x0000000000150326
     0.00%  python   python3.10                                         [.] 0x000000000015033d
     0.00%  python   python3.10                                         [.] 0x000000000015044b
     0.00%  python   python3.10                                         [.] 0x0000000000151610
     0.00%  python   python3.10                                         [.] 0x0000000000152057
     0.00%  python   python3.10                                         [.] 0x0000000000152065
     0.00%  python   python3.10                                         [.] 0x00000000001520a3
     0.00%  python   python3.10                                         [.] 0x00000000001520c5
     0.00%  python   python3.10                                         [.] 0x00000000001520cf
     0.00%  python   python3.10                                         [.] 0x00000000001520e1
     0.00%  python   python3.10                                         [.] 0x0000000000152160
     0.00%  python   python3.10                                         [.] 0x00000000001521c4
     0.00%  python   python3.10                                         [.] 0x00000000001521cb
     0.00%  python   python3.10                                         [.] 0x00000000001521f5
     0.00%  python   python3.10                                         [.] 0x0000000000152305
     0.00%  python   python3.10                                         [.] 0x000000000015231a
     0.00%  python   python3.10                                         [.] 0x0000000000152560
     0.00%  python   python3.10                                         [.] 0x0000000000152718
     0.00%  python   python3.10                                         [.] 0x0000000000152a28
     0.00%  python   python3.10                                         [.] 0x0000000000152a9e
     0.00%  python   python3.10                                         [.] 0x0000000000152ac6
     0.00%  python   python3.10                                         [.] 0x0000000000152ac7
     0.00%  python   python3.10                                         [.] 0x0000000000152acb
     0.00%  python   python3.10                                         [.] 0x0000000000152acd
     0.00%  python   python3.10                                         [.] 0x0000000000152ade
     0.00%  python   python3.10                                         [.] 0x0000000000152da2
     0.00%  python   python3.10                                         [.] 0x0000000000152da7
     0.00%  python   python3.10                                         [.] 0x0000000000152dc8
     0.00%  python   python3.10                                         [.] 0x0000000000152dd0
     0.00%  python   python3.10                                         [.] 0x0000000000152de3
     0.00%  python   python3.10                                         [.] 0x0000000000152e5e
     0.00%  python   python3.10                                         [.] 0x00000000001531d2
     0.00%  python   python3.10                                         [.] 0x00000000001531df
     0.00%  python   python3.10                                         [.] 0x00000000001531ec
     0.00%  python   python3.10                                         [.] 0x0000000000153200
     0.00%  python   python3.10                                         [.] 0x00000000001539e0
     0.00%  python   python3.10                                         [.] 0x0000000000153ca1
     0.00%  python   python3.10                                         [.] 0x0000000000153cc5
     0.00%  python   python3.10                                         [.] 0x0000000000153cdd
     0.00%  python   python3.10                                         [.] 0x0000000000153d31
     0.00%  python   python3.10                                         [.] 0x0000000000153d3a
     0.00%  python   python3.10                                         [.] 0x0000000000153d6e
     0.00%  python   python3.10                                         [.] 0x0000000000153d72
     0.00%  python   python3.10                                         [.] 0x0000000000153e87
     0.00%  python   python3.10                                         [.] 0x0000000000158da3
     0.00%  python   python3.10                                         [.] 0x0000000000159136
     0.00%  python   python3.10                                         [.] 0x00000000001591c2
     0.00%  python   python3.10                                         [.] 0x00000000001591d3
     0.00%  python   python3.10                                         [.] 0x00000000001591e0
     0.00%  python   python3.10                                         [.] 0x0000000000159200
     0.00%  python   python3.10                                         [.] 0x0000000000159293
     0.00%  python   python3.10                                         [.] 0x00000000001592ac
     0.00%  python   python3.10                                         [.] 0x000000000015a028
     0.00%  python   python3.10                                         [.] 0x000000000015a057
     0.00%  python   python3.10                                         [.] 0x000000000015a0ba
     0.00%  python   python3.10                                         [.] 0x000000000015aedc
     0.00%  python   python3.10                                         [.] 0x000000000015aefa
     0.00%  python   python3.10                                         [.] 0x000000000015afe9
     0.00%  python   python3.10                                         [.] 0x000000000015b077
     0.00%  python   python3.10                                         [.] 0x000000000015b08b
     0.00%  python   python3.10                                         [.] 0x000000000015b08f
     0.00%  python   python3.10                                         [.] 0x000000000015b0b0
     0.00%  python   python3.10                                         [.] 0x000000000015b101
     0.00%  python   python3.10                                         [.] 0x000000000015b11f
     0.00%  python   python3.10                                         [.] 0x000000000015b1ec
     0.00%  python   python3.10                                         [.] 0x000000000015b205
     0.00%  python   python3.10                                         [.] 0x000000000015c310
     0.00%  python   python3.10                                         [.] 0x000000000015c4c7
     0.00%  python   python3.10                                         [.] 0x000000000015c4e1
     0.00%  python   python3.10                                         [.] 0x000000000015c4f7
     0.00%  python   python3.10                                         [.] 0x000000000015c509
     0.00%  python   python3.10                                         [.] 0x000000000015c52f
     0.00%  python   python3.10                                         [.] 0x000000000015c53b
     0.00%  python   python3.10                                         [.] 0x000000000015c5a4
     0.00%  python   python3.10                                         [.] 0x000000000015c63a
     0.00%  python   python3.10                                         [.] 0x000000000015ccc9
     0.00%  python   python3.10                                         [.] 0x000000000015ccdf
     0.00%  python   python3.10                                         [.] 0x000000000015cdcb
     0.00%  python   python3.10                                         [.] 0x000000000015ce6f
     0.00%  python   python3.10                                         [.] 0x000000000015cefd
     0.00%  python   python3.10                                         [.] 0x000000000015d5e4
     0.00%  python   python3.10                                         [.] 0x000000000015d64a
     0.00%  python   python3.10                                         [.] 0x000000000015d6a0
     0.00%  python   python3.10                                         [.] 0x000000000015d6b3
     0.00%  python   python3.10                                         [.] 0x000000000015d6ce
     0.00%  python   python3.10                                         [.] 0x000000000015d71d
     0.00%  python   python3.10                                         [.] 0x000000000015d723
     0.00%  python   python3.10                                         [.] 0x000000000015de68
     0.00%  python   python3.10                                         [.] 0x000000000015de98
     0.00%  python   python3.10                                         [.] 0x000000000015deac
     0.00%  python   python3.10                                         [.] 0x000000000015deb9
     0.00%  python   python3.10                                         [.] 0x000000000015ded7
     0.00%  python   python3.10                                         [.] 0x000000000015def7
     0.00%  python   python3.10                                         [.] 0x000000000015dfd1
     0.00%  python   python3.10                                         [.] 0x000000000015e07c
     0.00%  python   python3.10                                         [.] 0x000000000015e07d
     0.00%  python   python3.10                                         [.] 0x000000000015e0a5
     0.00%  python   python3.10                                         [.] 0x000000000015e0c0
     0.00%  python   python3.10                                         [.] 0x000000000015e0fe
     0.00%  python   python3.10                                         [.] 0x000000000015e221
     0.00%  python   python3.10                                         [.] 0x000000000015e460
     0.00%  python   python3.10                                         [.] 0x000000000015e473
     0.00%  python   python3.10                                         [.] 0x000000000015e4e8
     0.00%  python   python3.10                                         [.] 0x000000000015e55a
     0.00%  python   python3.10                                         [.] 0x000000000015e55f
     0.00%  python   python3.10                                         [.] 0x000000000015e5c0
     0.00%  python   python3.10                                         [.] 0x000000000015e5f8
     0.00%  python   python3.10                                         [.] 0x000000000015e669
     0.00%  python   python3.10                                         [.] 0x000000000015e6e7
     0.00%  python   python3.10                                         [.] 0x000000000015e72f
     0.00%  python   python3.10                                         [.] 0x000000000015e74d
     0.00%  python   python3.10                                         [.] 0x000000000015e782
     0.00%  python   python3.10                                         [.] 0x000000000015eb08
     0.00%  python   python3.10                                         [.] 0x000000000015eb23
     0.00%  python   python3.10                                         [.] 0x000000000015ee88
     0.00%  python   python3.10                                         [.] 0x000000000015ee8f
     0.00%  python   python3.10                                         [.] 0x000000000015ee9b
     0.00%  python   python3.10                                         [.] 0x000000000015eeae
     0.00%  python   python3.10                                         [.] 0x0000000000161f16
     0.00%  python   python3.10                                         [.] 0x0000000000161f79
     0.00%  python   python3.10                                         [.] 0x0000000000161f82
     0.00%  python   python3.10                                         [.] 0x0000000000162145
     0.00%  python   python3.10                                         [.] 0x00000000001625dc
     0.00%  python   python3.10                                         [.] 0x00000000001625f5
     0.00%  python   python3.10                                         [.] 0x0000000000164876
     0.00%  python   python3.10                                         [.] 0x0000000000165bb2
     0.00%  python   python3.10                                         [.] 0x0000000000166993
     0.00%  python   python3.10                                         [.] 0x00000000001679f8
     0.00%  python   python3.10                                         [.] 0x0000000000167a4b
     0.00%  python   python3.10                                         [.] 0x0000000000167aa2
     0.00%  python   python3.10                                         [.] 0x0000000000167cd0
     0.00%  python   python3.10                                         [.] 0x0000000000167cd8
     0.00%  python   python3.10                                         [.] 0x0000000000168570
     0.00%  python   python3.10                                         [.] 0x00000000001685d1
     0.00%  python   python3.10                                         [.] 0x0000000000168655
     0.00%  python   python3.10                                         [.] 0x0000000000168968
     0.00%  python   python3.10                                         [.] 0x0000000000168976
     0.00%  python   python3.10                                         [.] 0x00000000001689a2
     0.00%  python   python3.10                                         [.] 0x00000000001689b2
     0.00%  python   python3.10                                         [.] 0x00000000001689d0
     0.00%  python   python3.10                                         [.] 0x00000000001689ee
     0.00%  python   python3.10                                         [.] 0x0000000000168a50
     0.00%  python   python3.10                                         [.] 0x0000000000168a9f
     0.00%  python   python3.10                                         [.] 0x0000000000168ada
     0.00%  python   python3.10                                         [.] 0x0000000000168fe1
     0.00%  python   python3.10                                         [.] 0x0000000000169356
     0.00%  python   python3.10                                         [.] 0x0000000000169369
     0.00%  python   python3.10                                         [.] 0x000000000016940c
     0.00%  python   python3.10                                         [.] 0x0000000000169516
     0.00%  python   python3.10                                         [.] 0x000000000016ae50
     0.00%  python   python3.10                                         [.] 0x000000000016ae96
     0.00%  python   python3.10                                         [.] 0x000000000016b760
     0.00%  python   python3.10                                         [.] 0x000000000016b798
     0.00%  python   python3.10                                         [.] 0x000000000016b806
     0.00%  python   python3.10                                         [.] 0x000000000016ba2c
     0.00%  python   python3.10                                         [.] 0x000000000016bb00
     0.00%  python   python3.10                                         [.] 0x000000000016bcf1
     0.00%  python   python3.10                                         [.] 0x000000000016d329
     0.00%  python   python3.10                                         [.] 0x000000000016d356
     0.00%  python   python3.10                                         [.] 0x000000000016d39a
     0.00%  python   python3.10                                         [.] 0x000000000016d39e
     0.00%  python   python3.10                                         [.] 0x000000000016d3c4
     0.00%  python   python3.10                                         [.] 0x000000000016d408
     0.00%  python   python3.10                                         [.] 0x000000000016d493
     0.00%  python   python3.10                                         [.] 0x000000000016d50c
     0.00%  python   python3.10                                         [.] 0x000000000016d529
     0.00%  python   python3.10                                         [.] 0x0000000000170229
     0.00%  python   python3.10                                         [.] 0x000000000017038a
     0.00%  python   python3.10                                         [.] 0x00000000001703a4
     0.00%  python   python3.10                                         [.] 0x000000000017098f
     0.00%  python   python3.10                                         [.] 0x00000000001713d4
     0.00%  python   python3.10                                         [.] 0x000000000017161c
     0.00%  python   python3.10                                         [.] 0x0000000000171cf0
     0.00%  python   python3.10                                         [.] 0x0000000000171d21
     0.00%  python   python3.10                                         [.] 0x00000000001720fe
     0.00%  python   python3.10                                         [.] 0x0000000000173ac0
     0.00%  python   python3.10                                         [.] 0x0000000000173b47
     0.00%  python   python3.10                                         [.] 0x0000000000173b8f
     0.00%  python   python3.10                                         [.] 0x0000000000173baf
     0.00%  python   python3.10                                         [.] 0x0000000000173bb8
     0.00%  python   python3.10                                         [.] 0x0000000000173cae
     0.00%  python   python3.10                                         [.] 0x0000000000173cd7
     0.00%  python   python3.10                                         [.] 0x0000000000173cf0
     0.00%  python   python3.10                                         [.] 0x0000000000173dc1
     0.00%  python   python3.10                                         [.] 0x0000000000173df0
     0.00%  python   python3.10                                         [.] 0x0000000000174459
     0.00%  python   python3.10                                         [.] 0x000000000017445e
     0.00%  python   python3.10                                         [.] 0x0000000000174538
     0.00%  python   python3.10                                         [.] 0x0000000000174641
     0.00%  python   python3.10                                         [.] 0x0000000000174673
     0.00%  python   python3.10                                         [.] 0x000000000017e140
     0.00%  python   python3.10                                         [.] 0x000000000017e184
     0.00%  python   python3.10                                         [.] 0x000000000017f284
     0.00%  python   python3.10                                         [.] 0x000000000017f56b
     0.00%  python   python3.10                                         [.] 0x00000000001806e8
     0.00%  python   python3.10                                         [.] 0x0000000000180775
     0.00%  python   python3.10                                         [.] 0x000000000018081d
     0.00%  python   python3.10                                         [.] 0x0000000000180c09
     0.00%  python   python3.10                                         [.] 0x0000000000180c0d
     0.00%  python   python3.10                                         [.] 0x0000000000180c57
     0.00%  python   python3.10                                         [.] 0x0000000000180ca5
     0.00%  python   python3.10                                         [.] 0x0000000000180cb7
     0.00%  python   python3.10                                         [.] 0x0000000000180cbb
     0.00%  python   python3.10                                         [.] 0x0000000000180e31
     0.00%  python   python3.10                                         [.] 0x0000000000184f78
     0.00%  python   python3.10                                         [.] 0x0000000000184fc4
     0.00%  python   python3.10                                         [.] 0x0000000000184fc8
     0.00%  python   python3.10                                         [.] 0x0000000000184fcb
     0.00%  python   python3.10                                         [.] 0x0000000000185030
     0.00%  python   python3.10                                         [.] 0x0000000000185054
     0.00%  python   python3.10                                         [.] 0x00000000001850fc
     0.00%  python   python3.10                                         [.] 0x00000000001851de
     0.00%  python   python3.10                                         [.] 0x00000000001851f3
     0.00%  python   python3.10                                         [.] 0x0000000000185273
     0.00%  python   python3.10                                         [.] 0x000000000018528a
     0.00%  python   python3.10                                         [.] 0x0000000000185291
     0.00%  python   python3.10                                         [.] 0x00000000001852d3
     0.00%  python   python3.10                                         [.] 0x00000000001852ef
     0.00%  python   python3.10                                         [.] 0x0000000000185317
     0.00%  python   python3.10                                         [.] 0x0000000000185327
     0.00%  python   python3.10                                         [.] 0x0000000000185334
     0.00%  python   python3.10                                         [.] 0x000000000018533e
     0.00%  python   python3.10                                         [.] 0x00000000001853ca
     0.00%  python   python3.10                                         [.] 0x00000000001853ec
     0.00%  python   python3.10                                         [.] 0x0000000000185547
     0.00%  python   python3.10                                         [.] 0x00000000001855ac
     0.00%  python   python3.10                                         [.] 0x000000000018562f
     0.00%  python   python3.10                                         [.] 0x00000000001857d5
     0.00%  python   python3.10                                         [.] 0x0000000000185846
     0.00%  python   python3.10                                         [.] 0x0000000000186a0c
     0.00%  python   python3.10                                         [.] 0x000000000018763e
     0.00%  python   python3.10                                         [.] 0x000000000018767b
     0.00%  python   python3.10                                         [.] 0x0000000000187757
     0.00%  python   python3.10                                         [.] 0x0000000000188283
     0.00%  python   python3.10                                         [.] 0x0000000000188478
     0.00%  python   python3.10                                         [.] 0x0000000000189bf9
     0.00%  python   python3.10                                         [.] 0x000000000018a170
     0.00%  python   python3.10                                         [.] 0x000000000018a1d8
     0.00%  python   python3.10                                         [.] 0x000000000018a367
     0.00%  python   python3.10                                         [.] 0x000000000018ae90
     0.00%  python   python3.10                                         [.] 0x000000000018b230
     0.00%  python   python3.10                                         [.] 0x000000000018b264
     0.00%  python   python3.10                                         [.] 0x000000000018b26c
     0.00%  python   python3.10                                         [.] 0x000000000018b289
     0.00%  python   python3.10                                         [.] 0x000000000018b310
     0.00%  python   python3.10                                         [.] 0x000000000018b44e
     0.00%  python   python3.10                                         [.] 0x000000000018b494
     0.00%  python   python3.10                                         [.] 0x000000000018b59c
     0.00%  python   python3.10                                         [.] 0x000000000018bf1f
     0.00%  python   python3.10                                         [.] 0x000000000018c809
     0.00%  python   python3.10                                         [.] 0x000000000018c86f
     0.00%  python   python3.10                                         [.] 0x000000000018d51f
     0.00%  python   python3.10                                         [.] 0x000000000018d5a2
     0.00%  python   python3.10                                         [.] 0x000000000018e130
     0.00%  python   python3.10                                         [.] 0x000000000018e136
     0.00%  python   python3.10                                         [.] 0x000000000018e143
     0.00%  python   python3.10                                         [.] 0x000000000018ebe7
     0.00%  python   python3.10                                         [.] 0x000000000018f35e
     0.00%  python   python3.10                                         [.] 0x000000000018f65c
     0.00%  python   python3.10                                         [.] 0x000000000018f677
     0.00%  python   python3.10                                         [.] 0x000000000018fb80
     0.00%  python   python3.10                                         [.] 0x000000000019127b
     0.00%  python   python3.10                                         [.] 0x0000000000191331
     0.00%  python   python3.10                                         [.] 0x0000000000193f4b
     0.00%  python   python3.10                                         [.] 0x00000000001943b0
     0.00%  python   python3.10                                         [.] 0x00000000001943e7
     0.00%  python   python3.10                                         [.] 0x0000000000194692
     0.00%  python   python3.10                                         [.] 0x0000000000194c3c
     0.00%  python   python3.10                                         [.] 0x0000000000194c7a
     0.00%  python   python3.10                                         [.] 0x0000000000195999
     0.00%  python   python3.10                                         [.] 0x0000000000195c9f
     0.00%  python   python3.10                                         [.] 0x0000000000196b90
     0.00%  python   python3.10                                         [.] 0x0000000000197480
     0.00%  python   python3.10                                         [.] 0x0000000000197de5
     0.00%  python   python3.10                                         [.] 0x0000000000198010
     0.00%  python   python3.10                                         [.] 0x00000000001988c0
     0.00%  python   python3.10                                         [.] 0x00000000001988e5
     0.00%  python   python3.10                                         [.] 0x00000000001989a7
     0.00%  python   python3.10                                         [.] 0x00000000001996c6
     0.00%  python   python3.10                                         [.] 0x0000000000199ca0
     0.00%  python   python3.10                                         [.] 0x000000000019a408
     0.00%  python   python3.10                                         [.] 0x00000000001a0aec
     0.00%  python   python3.10                                         [.] 0x00000000001a0d00
     0.00%  python   python3.10                                         [.] 0x00000000001a14b4
     0.00%  python   python3.10                                         [.] 0x00000000001a1750
     0.00%  python   python3.10                                         [.] 0x00000000001a1760
     0.00%  python   python3.10                                         [.] 0x00000000001a1810
     0.00%  python   python3.10                                         [.] 0x00000000001a1ac0
     0.00%  python   python3.10                                         [.] 0x00000000001a1acc
     0.00%  python   python3.10                                         [.] 0x00000000001a1b2b
     0.00%  python   python3.10                                         [.] 0x00000000001a1bb2
     0.00%  python   python3.10                                         [.] 0x00000000001a1c93
     0.00%  python   python3.10                                         [.] 0x00000000001a28f1
     0.00%  python   python3.10                                         [.] 0x00000000001a3595
     0.00%  python   python3.10                                         [.] 0x00000000001a38f1
     0.00%  python   python3.10                                         [.] 0x00000000001a3ace
     0.00%  python   python3.10                                         [.] 0x00000000001a3b7b
     0.00%  python   python3.10                                         [.] 0x00000000001a3b87
     0.00%  python   python3.10                                         [.] 0x00000000001a3d64
     0.00%  python   python3.10                                         [.] 0x00000000001a3e0c
     0.00%  python   python3.10                                         [.] 0x00000000001a3ed9
     0.00%  python   python3.10                                         [.] 0x00000000001a3f64
     0.00%  python   python3.10                                         [.] 0x00000000001a4374
     0.00%  python   python3.10                                         [.] 0x00000000001a43f2
     0.00%  python   python3.10                                         [.] 0x00000000001a4677
     0.00%  python   python3.10                                         [.] 0x00000000001a4958
     0.00%  python   python3.10                                         [.] 0x00000000001a4a94
     0.00%  python   python3.10                                         [.] 0x00000000001a4b09
     0.00%  python   python3.10                                         [.] 0x00000000001a72fe
     0.00%  python   python3.10                                         [.] 0x00000000001a7406
     0.00%  python   python3.10                                         [.] 0x00000000001a7e70
     0.00%  python   python3.10                                         [.] 0x00000000001aa123
     0.00%  python   python3.10                                         [.] 0x00000000001acd2a
     0.00%  python   python3.10                                         [.] 0x00000000001adf4a
     0.00%  python   python3.10                                         [.] 0x00000000001ae012
     0.00%  python   python3.10                                         [.] 0x00000000001ae090
     0.00%  python   python3.10                                         [.] 0x00000000001ae33f
     0.00%  python   python3.10                                         [.] 0x00000000001af180
     0.00%  python   python3.10                                         [.] 0x00000000001af1e0
     0.00%  python   python3.10                                         [.] 0x00000000001b096f
     0.00%  python   python3.10                                         [.] 0x00000000001b1bc0
     0.00%  python   python3.10                                         [.] 0x00000000001b7713
     0.00%  python   python3.10                                         [.] 0x00000000001b941f
     0.00%  python   python3.10                                         [.] 0x00000000001b9e03
     0.00%  python   python3.10                                         [.] 0x00000000001b9e2a
     0.00%  python   python3.10                                         [.] 0x00000000001b9f15
     0.00%  python   python3.10                                         [.] 0x00000000001c2668
     0.00%  python   python3.10                                         [.] 0x00000000001c26ae
     0.00%  python   python3.10                                         [.] 0x00000000001c88d3
     0.00%  python   python3.10                                         [.] 0x00000000001d5d62
     0.00%  python   python3.10                                         [.] 0x00000000001d60f1
     0.00%  python   python3.10                                         [.] 0x00000000001d6132
     0.00%  python   python3.10                                         [.] 0x00000000001de8c4
     0.00%  python   python3.10                                         [.] 0x00000000001de8d3
     0.00%  python   python3.10                                         [.] 0x00000000001de952
     0.00%  python   python3.10                                         [.] 0x00000000001de965
     0.00%  python   python3.10                                         [.] 0x00000000001ec219
     0.00%  python   python3.10                                         [.] 0x00000000001ec7f6
     0.00%  python   python3.10                                         [.] 0x00000000001ec827
     0.00%  python   python3.10                                         [.] 0x00000000001eca9b
     0.00%  python   python3.10                                         [.] 0x00000000001efec3
     0.00%  python   python3.10                                         [.] 0x00000000001f0e85
     0.00%  python   python3.10                                         [.] 0x0000000000209c1e
     0.00%  python   python3.10                                         [.] 0x000000000020b6ac
     0.00%  python   python3.10                                         [.] 0x000000000022031b
     0.00%  python   python3.10                                         [.] 0x000000000022033e
     0.00%  python   python3.10                                         [.] 0x00000000002205b1
     0.00%  python   python3.10                                         [.] 0x0000000000220a7d
     0.00%  python   python3.10                                         [.] 0x0000000000220a86
     0.00%  python   python3.10                                         [.] 0x0000000000220aa5
     0.00%  python   python3.10                                         [.] 0x0000000000220b56
     0.00%  python   python3.10                                         [.] 0x0000000000220c80
     0.00%  python   python3.10                                         [.] 0x0000000000220f2d
     0.00%  python   python3.10                                         [.] 0x0000000000220f3c
     0.00%  python   python3.10                                         [.] 0x00000000002210f1
     0.00%  python   python3.10                                         [.] 0x0000000000221b2e
     0.00%  python   python3.10                                         [.] 0x000000000022405f
     0.00%  python   python3.10                                         [.] 0x000000000022fedd
     0.00%  python   python3.10                                         [.] 0x0000000000230462
     0.00%  python   python3.10                                         [.] 0x00000000002309b9
     0.00%  python   python3.10                                         [.] 0x0000000000266a70
     0.00%  python   python3.10                                         [.] 0x0000000000279338
     0.00%  python   python3.10                                         [.] 0x0000000000283c09
     0.00%  python   python3.10                                         [.] 0x0000000000288b3c
     0.00%  python   python3.10                                         [.] 0x00000000002aca00
     0.00%  python   python3.10                                         [.] 0x00000000002b6459
     0.00%  python   python3.10                                         [.] 0x00000000002b6493
     0.00%  bash     [kernel.kallsyms]                                  [k] _raw_spin_lock
     0.00%  bash     [kernel.kallsyms]                                  [k] _raw_spin_unlock_irqrestore
     0.00%  bash     [kernel.kallsyms]                                  [k] lruvec_stat_mod_folio.constprop.0
     0.00%  bash     [kernel.kallsyms]                                  [k] pud_populate
     0.00%  bash     [kernel.kallsyms]                                  [k] vm_area_dup
     0.00%  lscpu    [kernel.kallsyms]                                  [k] strncpy_from_user
     0.00%  python   [kernel.kallsyms]                                  [k] ___slab_alloc
     0.00%  python   [kernel.kallsyms]                                  [k] __check_heap_object
     0.00%  python   [kernel.kallsyms]                                  [k] __do_sys_brk
     0.00%  python   [kernel.kallsyms]                                  [k] __fdget
     0.00%  python   [kernel.kallsyms]                                  [k] __filemap_get_folio
     0.00%  python   [kernel.kallsyms]                                  [k] __folio_throttle_swaprate
     0.00%  python   [kernel.kallsyms]                                  [k] __fput
     0.00%  python   [kernel.kallsyms]                                  [k] __fput_sync
     0.00%  python   [kernel.kallsyms]                                  [k] __kmem_cache_alloc_bulk
     0.00%  python   [kernel.kallsyms]                                  [k] __mem_cgroup_uncharge
     0.00%  python   [kernel.kallsyms]                                  [k] __mem_cgroup_uncharge_list
     0.00%  python   [kernel.kallsyms]                                  [k] __mod_lruvec_state
     0.00%  python   [kernel.kallsyms]                                  [k] __mutex_init
     0.00%  python   [kernel.kallsyms]                                  [k] __put_user_8
     0.00%  python   [kernel.kallsyms]                                  [k] __rb_insert_augmented
     0.00%  python   [kernel.kallsyms]                                  [k] __split_vma
     0.00%  python   [kernel.kallsyms]                                  [k] __virt_addr_valid
     0.00%  python   [kernel.kallsyms]                                  [k] _find_next_bit
     0.00%  python   [kernel.kallsyms]                                  [k] _find_next_zero_bit
     0.00%  python   [kernel.kallsyms]                                  [k] _raw_spin_lock
     0.00%  python   [kernel.kallsyms]                                  [k] _raw_spin_lock_bh
     0.00%  python   [kernel.kallsyms]                                  [k] alloc_anon_folio
     0.00%  python   [kernel.kallsyms]                                  [k] apparmor_file_alloc_security
     0.00%  python   [kernel.kallsyms]                                  [k] apparmor_file_free_security
     0.00%  python   [kernel.kallsyms]                                  [k] apparmor_file_mprotect
     0.00%  python   [kernel.kallsyms]                                  [k] arch_get_unmapped_area_topdown
     0.00%  python   [kernel.kallsyms]                                  [k] atime_needs_update
     0.00%  python   [kernel.kallsyms]                                  [k] call_filldir
     0.00%  python   [kernel.kallsyms]                                  [k] cap_mmap_file
     0.00%  python   [kernel.kallsyms]                                  [k] consume_obj_stock
     0.00%  python   [kernel.kallsyms]                                  [k] current_obj_cgroup
     0.00%  python   [kernel.kallsyms]                                  [k] do_brk_flags
     0.00%  python   [kernel.kallsyms]                                  [k] do_dentry_open
     0.00%  python   [kernel.kallsyms]                                  [k] do_mprotect_pkey
     0.00%  python   [kernel.kallsyms]                                  [k] do_vfs_ioctl
     0.00%  python   [kernel.kallsyms]                                  [k] down_write
     0.00%  python   [kernel.kallsyms]                                  [k] errseq_sample
     0.00%  python   [kernel.kallsyms]                                  [k] ext4_dx_readdir
     0.00%  python   [kernel.kallsyms]                                  [k] ext4_getattr
     0.00%  python   [kernel.kallsyms]                                  [k] file_close_fd_locked
     0.00%  python   [kernel.kallsyms]                                  [k] filemap_fault
     0.00%  python   [kernel.kallsyms]                                  [k] filemap_get_entry
     0.00%  python   [kernel.kallsyms]                                  [k] filemap_get_read_batch
     0.00%  python   [kernel.kallsyms]                                  [k] folio_add_file_rmap_ptes
     0.00%  python   [kernel.kallsyms]                                  [k] folio_batch_move_lru
     0.00%  python   [kernel.kallsyms]                                  [k] folio_lruvec_lock_irqsave
     0.00%  python   [kernel.kallsyms]                                  [k] folio_remove_rmap_ptes
     0.00%  python   [kernel.kallsyms]                                  [k] fput
     0.00%  python   [kernel.kallsyms]                                  [k] generic_fillattr
     0.00%  python   [kernel.kallsyms]                                  [k] generic_permission
     0.00%  python   [kernel.kallsyms]                                  [k] get_avenrun
     0.00%  python   [kernel.kallsyms]                                  [k] get_vma_policy
     0.00%  python   [kernel.kallsyms]                                  [k] getname_flags.part.0
     0.00%  python   [kernel.kallsyms]                                  [k] htree_dirblock_to_tree
     0.00%  python   [kernel.kallsyms]                                  [k] idle_cpu
     0.00%  python   [kernel.kallsyms]                                  [k] ima_file_mmap
     0.00%  python   [kernel.kallsyms]                                  [k] kernfs_fop_readdir
     0.00%  python   [kernel.kallsyms]                                  [k] kmalloc_trace
     0.00%  python   [kernel.kallsyms]                                  [k] kthread_blkcg
     0.00%  python   [kernel.kallsyms]                                  [k] kvm_smp_send_call_func_ipi
     0.00%  python   [kernel.kallsyms]                                  [k] lockref_get_not_dead
     0.00%  python   [kernel.kallsyms]                                  [k] lookup_fast
     0.00%  python   [kernel.kallsyms]                                  [k] lru_add_drain_cpu
     0.00%  python   [kernel.kallsyms]                                  [k] mas_alloc_nodes
     0.00%  python   [kernel.kallsyms]                                  [k] mas_data_end
     0.00%  python   [kernel.kallsyms]                                  [k] mas_descend
     0.00%  python   [kernel.kallsyms]                                  [k] mas_mab_cp
     0.00%  python   [kernel.kallsyms]                                  [k] mas_next_slot
     0.00%  python   [kernel.kallsyms]                                  [k] mas_pop_node
     0.00%  python   [kernel.kallsyms]                                  [k] mas_prev_range
