win	group	t_start	t_end	alive_after
000	cache	1784068762.325495	1784068772.367532	1
001	fpbr	1784068772.371084	1784068782.402132	1
002	fe_lat	1784068782.405390	1784068792.430726	1
003	fe	1784068792.433220	1784068802.466513	1
004	dram_bw	1784068802.483761	1784068812.507189	1
005	mlp	1784068812.509636	1784068822.528492	1
006	core_ports	1784068822.531298	1784068832.552499	1
007	priv	1784068832.555377	1784068842.576007	0
