win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783592349.695110	1783592359.823597	0	3083431
001	core	1783592360.197134	1783592370.225895	0	3090051
002	cache	1783592370.351504	1783592380.383200	0	3095977
003	fp1	1783592380.527960	1783592390.567297	1	3103931
004	fp2	1783592391.198246	1783592401.230399	1	3110393
005	mlp	1783592401.366664	1783592411.398067	1	3116806
006	fe	1783592411.545488	1783592421.577952	1	3123532
007	icache	1783592421.704475	1783592431.737568	1	3130282
008	priv	1783592431.880486	1783592441.917956	1	3136489
009	tma	1783592442.195213	1783592452.231973	0	3142735
010	core	1783592452.346027	1783592462.376361	0	3148772
011	cache	1783592462.497537	1783592472.531161	0	3156608
012	fp1	1783592472.662600	1783592482.701039	0	3163012
013	fp2	1783592482.895156	1783592492.929309	0	3168813
014	mlp	1783592493.052560	1783592503.085723	1	3176389
015	fe	1783592503.216624	1783592513.248156	1	3182697
016	icache	1783592513.367463	1783592523.397149	1	3189530
017	priv	1783592523.512051	1783592533.549803	1	3196225
018	tma	1783592533.728318	1783592543.763763	1	3202898
019	core	1783592543.878556	1783592553.907057	1	3209749
020	cache	1783592554.042140	1783592564.074065	1	3216125
021	fp1	1783592564.197983	1783592574.231565	1	3223028
022	fp2	1783592574.437138	1783592584.469959	1	3229868
023	mlp	1783592585.199153	1783592595.230401	1	3235975
024	fe	1783592595.374168	1783592605.407187	0	3241862
025	icache	1783592605.536652	1783592615.568955	0	3248206
026	priv	1783592616.200538	1783592626.234201	0	3254729
