win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783587163.084379	1783587173.205753	1	1110088
001	core	1783587174.207975	1783587184.235824	1	1112869
002	cache	1783587184.353236	1783587194.387008	1	1115355
003	fp1	1783587194.506783	1783587204.539506	1	1118045
004	fp2	1783587204.695421	1783587214.729349	1	1120415
005	mlp	1783587214.845106	1783587224.874864	1	1122731
006	fe	1783587224.989988	1783587235.021709	1	1125364
007	icache	1783587235.197267	1783587245.227714	1	1127636
008	priv	1783587245.342310	1783587255.375388	1	1130396
009	tma	1783587255.494111	1783587265.530340	1	1133110
010	core	1783587265.646244	1783587275.674821	0	1134624
011	cache	1783587275.794474	1783587285.827592	1	1138343
012	fp1	1783587287.139734	1783587297.174220	1	1140869
013	fp2	1783587297.291419	1783587307.325632	1	1143858
014	mlp	1783587307.439941	1783587317.472000	1	1146140
015	fe	1783587318.195753	1783587328.235011	1	1148908
016	icache	1783587328.356359	1783587338.385787	1	1151735
017	priv	1783587339.253542	1783587349.288214	1	1154358
018	tma	1783587350.197130	1783587360.235881	1	1157208
019	core	1783587360.479918	1783587370.521322	1	1159944
020	cache	1783587370.707428	1783587380.742351	0	1162323
021	fp1	1783587380.857733	1783587390.890631	1	1165354
022	fp2	1783587391.208593	1783587401.241943	1	1167912
023	mlp	1783587401.421911	1783587411.452686	1	1170351
024	fe	1783587411.668783	1783587421.703037	1	1172951
025	icache	1783587421.824198	1783587431.853450	1	1176452
026	priv	1783587431.999063	1783587442.033463	1	1179025
