win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783588204.744120	1783588214.863218	1	1339159
001	core	1783588215.052206	1783588225.080474	1	1342088
002	cache	1783588225.206713	1783588235.240639	1	1343461
003	fp1	1783588235.457466	1783588245.490444	1	1344958
004	fp2	1783588245.603623	1783588255.635077	1	1347815
005	mlp	1783588256.199450	1783588266.228701	1	1349094
006	fe	1783588266.347621	1783588276.382069	1	1351845
007	icache	1783588277.199376	1783588287.229416	1	1353568
008	priv	1783588287.356021	1783588297.392413	0	1355988
009	tma	1783588297.615240	1783588307.651382	1	1357332
010	core	1783588308.139545	1783588318.169325	1	1358809
011	cache	1783588318.312444	1783588328.347045	1	1361488
012	fp1	1783588328.463830	1783588338.497759	1	1362785
013	fp2	1783588338.681440	1783588348.714981	1	1364243
014	mlp	1783588348.833415	1783588358.863312	1	1367058
015	fe	1783588359.143242	1783588369.177758	1	1368724
016	icache	1783588370.141842	1783588380.173395	1	1370299
017	priv	1783588380.350596	1783588390.385963	1	1371863
018	tma	1783588391.140030	1783588401.177917	1	1374438
019	core	1783588401.352673	1783588411.386687	1	1376064
020	cache	1783588412.139939	1783588422.173582	1	1377607
021	fp1	1783588422.348277	1783588432.383107	1	1380255
022	fp2	1783588432.520268	1783588442.552639	1	1382135
023	mlp	1783588442.739706	1783588452.769180	1	1384435
024	fe	1783588452.885294	1783588462.926251	1	1386051
025	icache	1783588463.060058	1783588473.089656	1	1387709
026	priv	1783588473.218687	1783588483.252731	1	1390566
