win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783585434.539631	1783585444.665798	0	335865
001	core	1783585444.792390	1783585454.819573	0	340542
002	cache	1783585455.196183	1783585465.228877	0	346761
003	fp1	1783585465.345813	1783585475.383907	1	352680
004	fp2	1783585475.504183	1783585485.535749	1	358672
005	mlp	1783585485.665535	1783585495.694681	1	364131
006	fe	1783585495.827961	1783585505.862131	1	369496
007	icache	1783585505.976909	1783585516.008268	0	374603
008	priv	1783585516.122503	1783585526.162730	0	380699
009	tma	1783585526.289258	1783585536.325238	0	385848
010	core	1783585536.437582	1783585546.465862	0	391646
011	cache	1783585547.194507	1783585557.227863	1	398230
012	fp1	1783585557.348978	1783585567.386369	1	403845
013	fp2	1783585567.505670	1783585577.539129	1	409325
014	mlp	1783585577.660356	1783585587.689566	1	416244
015	fe	1783585588.197703	1783585598.229610	0	420967
016	icache	1783585598.346170	1783585608.375586	1	427684
017	priv	1783585608.490404	1783585618.523441	1	433185
018	tma	1783585618.674041	1783585628.709959	1	438582
019	core	1783585629.410300	1783585639.438075	1	444536
020	cache	1783585640.141129	1783585650.173305	0	449353
021	fp1	1783585650.357691	1783585660.390299	0	454909
022	fp2	1783585660.515790	1783585670.547577	0	461072
023	mlp	1783585672.117724	1783585682.150480	0	467080
024	fe	1783585682.273981	1783585692.306783	1	473526
025	icache	1783585692.424113	1783585702.457353	1	479622
026	priv	1783585703.205252	1783585713.239371	0	484946
