win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783595465.586162	1783595475.767609	0	4436131
001	core	1783595475.896546	1783595485.925286	1	4443238
002	cache	1783595486.117973	1783595496.163245	0	4450996
003	fp1	1783595497.139331	1783595507.195197	0	4458783
004	fp2	1783595508.204791	1783595518.238494	1	4465793
005	mlp	1783595518.441712	1783595528.476404	1	4473425
006	fe	1783595528.691311	1783595538.744558	1	4480947
007	icache	1783595539.219645	1783595549.250121	1	4488541
008	priv	1783595550.140052	1783595560.174768	0	4494993
009	tma	1783595560.337295	1783595570.378235	1	4502444
010	core	1783595570.599885	1783595580.630663	0	4509671
011	cache	1783595580.863513	1783595590.897742	1	4517041
012	fp1	1783595591.022036	1783595601.055935	1	4525068
013	fp2	1783595601.177678	1783595611.216230	1	4532549
014	mlp	1783595612.203596	1783595622.262016	1	4539579
015	fe	1783595622.461351	1783595632.495030	1	4547009
016	icache	1783595633.199688	1783595643.237834	1	4554273
017	priv	1783595643.741796	1783595653.775024	0	4560646
018	tma	1783595654.196817	1783595664.233247	0	4568266
019	core	1783595664.357105	1783595674.385348	1	4576371
020	cache	1783595675.201819	1783595685.237768	1	4584056
021	fp1	1783595685.457678	1783595695.490439	0	4589993
022	fp2	1783595695.605964	1783595705.639485	0	4597556
023	mlp	1783595705.758260	1783595715.788480	1	4605582
024	fe	1783595715.902611	1783595725.935753	1	4612990
025	icache	1783595726.203332	1783595736.234406	0	4618560
026	priv	1783595736.354078	1783595746.388663	0	4625723
