win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783595814.325769	1783595824.430075	1	4675932
001	core	1783595824.556796	1783595834.586154	1	4679830
002	cache	1783595834.741642	1783595844.777036	1	4683749
003	fp1	1783595844.903885	1783595854.937523	0	4687629
004	fp2	1783595856.141017	1783595866.175900	0	4690151
005	mlp	1783595866.370567	1783595876.403486	1	4694152
006	fe	1783595876.611273	1783595886.646335	1	4697850
007	icache	1783595887.201861	1783595897.234508	1	4701718
008	priv	1783595897.361021	1783595907.396585	1	4706237
009	tma	1783595907.519017	1783595917.556630	1	4709935
010	core	1783595918.208179	1783595928.236974	0	4711860
011	cache	1783595928.364558	1783595938.400813	0	4716360
012	fp1	1783595938.630483	1783595948.664471	1	4719996
013	fp2	1783595948.848767	1783595958.881886	1	4723831
014	mlp	1783595959.197122	1783595969.233493	1	4727869
015	fe	1783595969.358361	1783595979.394940	1	4731923
016	icache	1783595979.515957	1783595989.551910	0	4734074
017	priv	1783595989.680109	1783595999.720003	0	4738153
018	tma	1783596000.160166	1783596010.199143	1	4742100
019	core	1783596010.371733	1783596020.402912	1	4746449
020	cache	1783596020.545619	1783596030.579446	1	4750107
021	fp1	1783596030.709807	1783596040.745942	1	4754749
022	fp2	1783596040.866520	1783596050.903992	0	4757021
023	mlp	1783596051.120381	1783596061.154021	1	4760957
024	fe	1783596061.271753	1783596071.305158	1	4764903
025	icache	1783596071.446181	1783596081.488188	1	4768578
026	priv	1783596082.198784	1783596092.235250	1	4772606
