win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783594429.483089	1783594439.572548	1	3818875
001	core	1783594440.197908	1783594450.225389	1	3820629
002	cache	1783594450.354834	1783594460.386668	0	3824313
003	fp1	1783594461.139540	1783594471.179599	1	3826098
004	fp2	1783594471.392826	1783594481.440817	1	3828011
005	mlp	1783594481.661158	1783594491.692092	1	3829931
006	fe	1783594492.197154	1783594502.234153	0	3831956
007	icache	1783594502.380870	1783594512.419919	1	3835469
008	priv	1783594512.603356	1783594522.636842	1	3837343
009	tma	1783594522.771022	1783594532.806781	1	3839368
010	core	1783594533.196458	1783594543.225597	0	3841213
011	cache	1783594543.364343	1783594553.399803	1	3844288
012	fp1	1783594553.616114	1783594563.651870	1	3846330
013	fp2	1783594563.782529	1783594573.822148	1	3848746
014	mlp	1783594574.035271	1783594584.066422	1	3850771
015	fe	1783594584.186368	1783594594.218222	1	3853875
016	icache	1783594594.345665	1783594604.382764	1	3855617
017	priv	1783594605.197087	1783594615.232122	1	3857938
018	tma	1783594615.351744	1783594625.389828	1	3859853
019	core	1783594625.525475	1783594635.553897	1	3862926
020	cache	1783594635.681843	1783594645.713989	1	3864840
021	fp1	1783594645.837047	1783594655.881670	1	3866683
022	fp2	1783594656.717511	1783594666.750386	1	3868623
023	mlp	1783594666.886040	1783594676.917233	1	3872236
024	fe	1783594677.032031	1783594687.065852	1	3874119
025	icache	1783594687.242382	1783594697.280408	1	3876042
026	priv	1783594697.396544	1783594707.429891	1	3878227
