workload,window_type,n,median_s,p90_s,total_s
BCB exact,tool_burst,27,1.944,5.324,58.7
BCB exact,model_gap,26,7.914,11.87,205.2
SWE astropy,step_exec,41,0.175,1.132,45.6
SWE scikit-learn,step_exec,61,0.185,1.515,158.5
SWE sympy,step_exec,72,0.164,0.477,19.3
