win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783595119.770410	1783595129.895118	1	4186112
001	core	1783595130.196882	1783595140.225906	1	4193210
002	cache	1783595140.349347	1783595150.382184	1	4200952
003	fp1	1783595150.530631	1783595160.563067	0	4206879
004	fp2	1783595160.681882	1783595170.714940	0	4213895
005	mlp	1783595170.859074	1783595180.889566	0	4221571
006	fe	1783595181.201171	1783595191.233261	1	4229013
007	icache	1783595191.357020	1783595201.392404	1	4236804
008	priv	1783595201.605249	1783595211.639078	0	4243024
009	tma	1783595211.861239	1783595221.899817	0	4250354
010	core	1783595222.125275	1783595232.153471	1	4257735
011	cache	1783595232.369023	1783595242.405860	0	4264827
012	fp1	1783595242.540174	1783595252.574549	1	4273341
013	fp2	1783595252.739494	1783595262.772355	0	4279195
014	mlp	1783595263.205891	1783595273.238862	0	4286250
015	fe	1783595273.352653	1783595283.385171	1	4295090
016	icache	1783595284.198283	1783595294.228185	1	4302334
017	priv	1783595295.140298	1783595305.175127	0	4308832
018	tma	1783595305.352891	1783595315.393193	1	4316402
019	core	1783595315.534432	1783595325.564517	1	4324563
020	cache	1783595325.777747	1783595335.812344	0	4330542
021	fp1	1783595336.039398	1783595346.076993	0	4338204
022	fp2	1783595346.253509	1783595356.287456	1	4345604
023	mlp	1783595356.405942	1783595366.446456	0	4351607
024	fe	1783595366.563329	1783595376.596693	0	4361273
025	icache	1783595378.139796	1783595388.170808	0	4366796
026	priv	1783595388.287122	1783595398.330129	0	4373774
