win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783590279.515234	1783590289.621399	1	2259170
001	core	1783590290.196892	1783590300.225397	1	2261988
002	cache	1783590300.441076	1783590310.473667	1	2264732
003	fp1	1783590311.196101	1783590321.228167	1	2267602
004	fp2	1783590321.351768	1783590331.384423	1	2270422
005	mlp	1783590331.505511	1783590341.537325	1	2272958
006	fe	1783590342.139826	1783590352.172255	1	2275674
007	icache	1783590352.289253	1783590362.318859	1	2278412
008	priv	1783590362.433215	1783590372.467126	1	2281116
009	tma	1783590372.582147	1783590382.620253	1	2284234
010	core	1783590382.794121	1783590392.822487	1	2286764
011	cache	1783590393.197744	1783590403.230577	1	2289488
012	fp1	1783590403.345428	1783590413.378941	1	2292415
013	fp2	1783590413.493445	1783590423.525282	1	2295364
014	mlp	1783590423.741705	1783590433.771574	1	2298468
015	fe	1783590433.899432	1783590443.931734	1	2301023
016	icache	1783590444.046286	1783590454.077107	1	2304098
017	priv	1783590455.139936	1783590465.172312	1	2307088
018	tma	1783590465.297533	1783590475.335246	1	2310375
019	core	1783590476.196964	1783590486.224607	1	2313588
020	cache	1783590486.352059	1783590496.384149	1	2316322
021	fp1	1783590496.500878	1783590506.533235	1	2319192
022	fp2	1783590507.144609	1783590517.179873	1	2321878
023	mlp	1783590517.292027	1783590527.324291	1	2324728
024	fe	1783590527.490699	1783590537.529226	1	2327381
025	icache	1783590538.196131	1783590548.228834	1	2330331
026	priv	1783590548.360448	1783590558.394096	1	2333480
