win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783592001.737971	1783592011.853796	1	2851824
001	core	1783592012.010893	1783592022.040291	1	2858758
002	cache	1783592023.140019	1783592033.173043	0	2864994
003	fp1	1783592033.323477	1783592043.358315	0	2870978
004	fp2	1783592043.568430	1783592053.600120	0	2877437
005	mlp	1783592053.736791	1783592063.768257	0	2883845
006	fe	1783592063.884997	1783592073.917768	0	2891979
007	icache	1783592075.140116	1783592085.171964	1	2898951
008	priv	1783592085.283530	1783592095.317495	1	2905269
009	tma	1783592095.431388	1783592105.469136	0	2911394
010	core	1783592106.198258	1783592116.229269	1	2919290
011	cache	1783592117.197725	1783592127.229513	0	2927018
012	fp1	1783592128.141063	1783592138.173199	1	2933101
013	fp2	1783592138.345357	1783592148.378405	0	2938760
014	mlp	1783592148.598036	1783592158.627665	0	2945063
015	fe	1783592158.756308	1783592168.788657	0	2951331
016	icache	1783592168.934957	1783592178.966958	0	2958498
017	priv	1783592179.199700	1783592189.233070	0	2965075
018	tma	1783592189.347268	1783592199.384474	1	2972148
019	core	1783592199.498068	1783592209.528303	0	2978674
020	cache	1783592210.196192	1783592220.235735	0	2984956
021	fp1	1783592220.454704	1783592230.491716	0	2992066
022	fp2	1783592230.703016	1783592240.750423	0	2998396
023	mlp	1783592241.211407	1783592251.241976	1	3005860
024	fe	1783592251.450642	1783592261.483245	1	3012144
025	icache	1783592262.168027	1783592272.198027	0	3018057
026	priv	1783592272.397411	1783592282.441292	1	3025082
