win	group	t_start	t_end	alive_after
124	cache	1784080847.695646	1784080852.718557	1
125	fpbr	1784080852.721121	1784080857.742904	1
126	fe	1784080857.745469	1784080862.769501	1
127	mlp	1784080862.772009	1784080867.793628	1
128	mlp	1784080867.799273	1784080872.827640	1
129	dram_bw	1784080872.830224	1784080877.851228	1
130	cache	1784080877.853757	1784080882.877426	1
131	priv	1784080882.880623	1784080887.902389	1
132	core_ports	1784080887.905003	1784080892.927999	1
133	fe_lat	1784080892.930446	1784080897.953312	1
134	fpbr	1784080897.955969	1784080902.986426	1
135	fe	1784080902.989571	1784080908.013548	1
136	fpbr	1784080908.019400	1784080913.040976	1
137	core_ports	1784080913.043506	1784080918.066689	1
138	dram_bw	1784080918.069292	1784080923.090101	1
139	cache	1784080923.092697	1784080928.116108	1
140	mlp	1784080928.118568	1784080933.138699	1
141	priv	1784080933.141156	1784080938.163966	1
142	fe	1784080938.166529	1784080943.189886	1
143	fe_lat	1784080943.192418	1784080948.215768	1
144	dram_bw	1784080948.221850	1784080953.243227	1
145	fpbr	1784080953.245928	1784080958.267981	1
146	mlp	1784080958.270541	1784080963.291345	1
147	cache	1784080963.294043	1784080968.317910	1
148	priv	1784080968.320503	1784080973.344830	1
149	fe	1784080973.347926	1784080978.373269	1
150	fe_lat	1784080978.376336	1784080983.401023	1
151	core_ports	1784080983.403750	1784080988.427147	1
152	fpbr	1784080988.433583	1784080993.455676	1
153	priv	1784080993.458144	1784080998.480098	1
154	mlp	1784080998.482646	1784081003.503605	1
155	core_ports	1784081003.506407	1784081008.530062	1
156	dram_bw	1784081008.532597	1784081013.555251	1
157	fe	1784081013.557857	1784081018.582667	1
158	fe_lat	1784081018.585563	1784081023.609764	1
159	cache	1784081023.612296	1784081028.637889	1
160	fpbr	1784081028.643685	1784081033.666014	1
161	mlp	1784081033.668696	1784081038.690195	1
162	priv	1784081038.692791	1784081043.714280	1
163	dram_bw	1784081043.716921	1784081048.738291	1
164	fe_lat	1784081048.740869	1784081053.763777	1
165	core_ports	1784081053.766308	1784081058.790125	1
166	fe	1784081058.793346	1784081063.816487	1
167	cache	1784081063.819024	1784081068.841933	1
168	cache	1784081068.847507	1784081073.869789	1
169	dram_bw	1784081073.872189	1784081078.892921	1
170	mlp	1784081078.895353	1784081083.915405	1
171	core_ports	1784081083.918306	1784081088.941207	1
172	fpbr	1784081088.944082	1784081093.968439	1
173	fe	1784081093.970955	1784081098.993911	1
174	priv	1784081098.996504	1784081104.028224	1
175	fe_lat	1784081104.030778	1784081109.055787	1
176	mlp	1784081109.061782	1784081114.082101	1
177	dram_bw	1784081114.084518	1784081119.106129	1
178	fe_lat	1784081119.108789	1784081124.132112	1
179	core_ports	1784081124.134678	1784081129.157778	1
180	cache	1784081129.160348	1784081134.183578	1
181	fe	1784081134.186162	1784081139.209632	1
182	fpbr	1784081139.212254	1784081144.234289	1
183	priv	1784081144.236814	1784081149.258470	1
184	fe_lat	1784081149.265052	1784081154.288105	1
185	fe	1784081154.290595	1784081159.313021	1
186	core_ports	1784081159.315874	1784081164.338641	1
187	cache	1784081164.341278	1784081169.365503	1
188	fpbr	1784081169.368450	1784081174.390209	1
189	priv	1784081174.392867	1784081179.415062	1
190	mlp	1784081179.417629	1784081184.438175	1
191	dram_bw	1784081184.440641	1784081189.462928	1
192	core_ports	1784081189.468950	1784081194.491886	1
193	dram_bw	1784081194.494292	1784081199.515546	1
194	fpbr	1784081199.518069	1784081204.540109	1
195	fe_lat	1784081204.542589	1784081209.565689	1
196	mlp	1784081209.568228	1784081214.589221	1
197	priv	1784081214.591947	1784081219.615389	1
198	fe	1784081219.618032	1784081224.642580	1
199	cache	1784081224.645723	1784081229.670554	0
