win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783597547.190019	1783597557.291296	1	5260495
001	core	1783597557.409011	1783597567.441100	1	5262524
002	cache	1783597567.558352	1783597577.591156	1	5265079
003	fp1	1783597577.731148	1783597587.765144	1	5267360
004	fp2	1783597587.880711	1783597597.913534	0	5269382
005	mlp	1783597598.223456	1783597608.284431	1	5273338
006	fe	1783597608.400376	1783597618.435034	1	5275673
007	icache	1783597618.557017	1783597628.588537	1	5277640
008	priv	1783597629.196276	1783597639.231035	1	5280160
009	tma	1783597639.359082	1783597649.396108	0	5282277
010	core	1783597649.540880	1783597659.569466	1	5286275
011	cache	1783597659.777802	1783597669.817277	1	5288278
012	fp1	1783597670.211302	1783597680.243123	1	5290336
013	fp2	1783597681.200777	1783597691.235749	1	5292610
014	mlp	1783597691.415121	1783597701.445110	0	5295267
015	fe	1783597701.569018	1783597711.603571	1	5299125
016	icache	1783597712.200207	1783597722.230195	1	5301239
017	priv	1783597722.351509	1783597732.391175	1	5303224
018	tma	1783597732.610118	1783597742.649437	1	5305812
019	core	1783597742.770013	1783597752.797580	0	5308072
020	cache	1783597752.916640	1783597762.949179	1	5311721
021	fp1	1783597763.196067	1783597773.229999	1	5313907
022	fp2	1783597773.359764	1783597783.397802	1	5315988
023	mlp	1783597783.529166	1783597793.568887	1	5318219
024	fe	1783597794.202723	1783597804.236794	0	5320454
025	icache	1783597804.362493	1783597814.392746	1	5324536
026	priv	1783597814.513249	1783597824.550294	1	5326736
