win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783589935.547312	1783589945.659050	1	2156223
001	core	1783589945.780681	1783589955.808095	1	2159036
002	cache	1783589955.960383	1783589965.994846	1	2161758
003	fp1	1783589966.199157	1783589976.233113	1	2164631
004	fp2	1783589976.372453	1783589986.427881	1	2167459
005	mlp	1783589986.638883	1783589996.668742	1	2169992
006	fe	1783589997.199042	1783590007.230820	1	2172710
007	icache	1783590007.354345	1783590017.401228	1	2175450
008	priv	1783590017.513759	1783590027.550968	1	2178153
009	tma	1783590027.677279	1783590037.712766	1	2181271
010	core	1783590037.932195	1783590047.959739	1	2183795
011	cache	1783590048.197909	1783590058.231039	1	2186518
012	fp1	1783590058.388127	1783590068.421180	1	2189448
013	fp2	1783590068.540587	1783590078.574996	1	2192400
014	mlp	1783590078.706517	1783590088.752112	1	2195510
015	fe	1783590088.867968	1783590098.900754	1	2198073
016	icache	1783590099.017463	1783590109.058881	1	2201115
017	priv	1783590109.268318	1783590119.303546	1	2204141
018	tma	1783590120.139766	1783590130.177069	1	2207431
019	core	1783590131.139225	1783590141.167134	1	2210651
020	cache	1783590141.351542	1783590151.384802	1	2213381
021	fp1	1783590151.506555	1783590161.539150	1	2216260
022	fp2	1783590162.198688	1783590172.231029	1	2218951
023	mlp	1783590172.348329	1783590182.378801	1	2221804
024	fe	1783590182.497088	1783590192.533974	1	2224436
025	icache	1783590192.653264	1783590202.692461	1	2227391
026	priv	1783590202.845515	1783590212.879000	1	2230552
