win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783589591.097032	1783589601.186859	1	2054417
001	core	1783589601.305101	1783589611.333361	1	2057096
002	cache	1783589611.496643	1783589621.528249	1	2060068
003	fp1	1783589622.196884	1783589632.230511	1	2062730
004	fp2	1783589632.373425	1783589642.406320	1	2065598
005	mlp	1783589643.197460	1783589653.232980	1	2068216
006	fe	1783589653.367107	1783589663.399080	1	2070835
007	icache	1783589663.515992	1783589673.547167	1	2073737
008	priv	1783589674.139592	1783589684.174465	1	2076289
009	tma	1783589684.287612	1783589694.323640	1	2079332
010	core	1783589694.439410	1783589704.466761	1	2082188
011	cache	1783589704.680033	1783589714.716446	1	2084683
012	fp1	1783589714.923509	1783589724.959125	1	2087441
013	fp2	1783589725.197203	1783589735.229714	1	2090486
014	mlp	1783589735.350820	1783589745.380368	1	2093288
015	fe	1783589745.512311	1783589755.543952	1	2096160
016	icache	1783589755.657906	1783589765.687636	1	2099026
017	priv	1783589765.805732	1783589775.840669	0	2100739
018	tma	1783589775.955637	1783589785.992754	0	2103742
019	core	1783589786.107328	1783589796.135362	0	2107017
020	cache	1783589796.249878	1783589806.284271	1	2110238
021	fp1	1783589806.398458	1783589816.432424	0	2112985
022	fp2	1783589817.209407	1783589827.241575	1	2115845
023	mlp	1783589827.356661	1783589837.386758	0	2118542
024	fe	1783589838.198186	1783589848.229938	0	2121394
025	icache	1783589848.343662	1783589858.374160	0	2124026
026	priv	1783589858.494222	1783589868.527120	1	2126988
