win	group	t_start	t_end	engine_running	engine_tokens
000	tma	1783594774.688721	1783594784.783331	1	3933372
001	core	1783594785.196333	1783594795.224177	0	3940764
002	cache	1783594795.384995	1783594805.420168	0	3947992
003	fp1	1783594805.637152	1783594815.674024	1	3955573
004	fp2	1783594815.881147	1783594825.913623	1	3963069
005	mlp	1783594826.030717	1783594836.061075	0	3972642
006	fe	1783594836.206688	1783594846.239478	0	3978873
007	icache	1783594846.360541	1783594856.391767	1	3986194
008	priv	1783594856.605828	1783594866.639256	1	3993561
009	tma	1783594866.766889	1783594876.803701	1	4000663
010	core	1783594877.013268	1783594887.040919	0	4007211
011	cache	1783594887.161107	1783594897.196769	0	4015044
012	fp1	1783594897.331423	1783594907.365706	1	4022095
013	fp2	1783594907.478457	1783594917.511437	1	4029115
014	mlp	1783594917.626637	1783594927.657608	1	4036423
015	fe	1783594927.804227	1783594937.835752	1	4042006
016	icache	1783594937.958384	1783594947.992007	0	4050454
017	priv	1783594948.119541	1783594958.160581	1	4058175
018	tma	1783594958.380951	1783594968.428630	1	4066336
019	core	1783594968.651024	1783594978.692403	0	4071913
020	cache	1783594979.203249	1783594989.236748	0	4079424
021	fp1	1783594989.358152	1783594999.394310	1	4087439
022	fp2	1783594999.519051	1783595009.568606	1	4095433
023	mlp	1783595010.204011	1783595020.237653	1	4102587
024	fe	1783595020.454788	1783595030.487504	0	4107829
025	icache	1783595030.609466	1783595040.641543	0	4115348
026	priv	1783595040.864038	1783595050.900068	1	4122738
